﻿Título da Revista;ISSN;Homepage;Grande Area;Area do Conhecimento;Subárea do Conhecimento;Indexador;JIF;Quartil JCR;SJR;SJR Best Quartile;H index;Índice h5
HUNTINGTON LIBRARY QUARTERLY;0018-7895;http://huntington.org/WebAssets/Templates/content.aspx?id=2988;Outras / Não Classificado;Geral / Multidisciplinar;Urologia e Nefrologia;Web of Science;2,2;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=HUNTINGTON%20LIBRARY%20QUARTERLY&btnG=
HUSSERL STUDIES;0167-9848;https://www.springer.com/journal/10743;Outras / Não Classificado;Geral / Multidisciplinar;Urologia e Nefrologia;Web of Science;1,3;Q3;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=HUSSERL%20STUDIES&btnG=
HYBRIS-REVISTA DE FILOSOFIA;0718-8382;mailto:martinrioslopez@gmail.com;Outras / Não Classificado;Geral / Multidisciplinar;Urologia e Nefrologia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=HYBRIS-REVISTA%20DE%20FILOSOFIA&btnG=
HYDROBIOLOGIA;0018-8158;https://link.springer.com/journal/10750;Outras / Não Classificado;Geral / Multidisciplinar;Oncologia, Urologia e Nefrologia;Web of Science;2,3;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=HYDROBIOLOGIA&btnG=
HYDROGEN;2673-4141;https://www.mdpi.com/journal/hydrogen;Outras / Não Classificado;Geral / Multidisciplinar;Urologia e Nefrologia;Web of Science;0,4;Q4;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=HYDROGEN&btnG=
HYDROGEOLOGY JOURNAL;1431-2174;https://www.springer.com/10040;Outras / Não Classificado;Geral / Multidisciplinar;Urologia e Nefrologia;Web of Science;2;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=HYDROGEOLOGY%20JOURNAL&btnG=
HYDROLOGICAL PROCESSES;0885-6087;https://onlinelibrary.wiley.com/journal/10991085;Outras / Não Classificado;Geral / Multidisciplinar;Urologia e Nefrologia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=HYDROLOGICAL%20PROCESSES&btnG=
HYDROLOGICAL RESEARCH LETTERS;1882-3416;http://www.hrljournal.org/;Ciências Biológicas;Zoologia;Zoologia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=HYDROLOGICAL%20RESEARCH%20LETTERS&btnG=
HYDROLOGICAL SCIENCES JOURNAL;0262-6667;https://www.tandfonline.com/toc/thsj20/current;Outras / Não Classificado;Geral / Multidisciplinar;Ciência da Computação, Cibernética;Web of Science;3,5;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=HYDROLOGICAL%20SCIENCES%20JOURNAL&btnG=
HYDROLOGIE UND WASSERBEWIRTSCHAFTUNG;1439-1783;https://www.hywa-online.de/;Outras / Não Classificado;Geral / Multidisciplinar;Energia e Combustíveis, Ciências Ambientais;Web of Science;4,4;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=HYDROLOGIE%20UND%20WASSERBEWIRTSCHAFTUNG&btnG=
HYDROLOGY;2306-5338;http://www.mdpi.com/journal/hydrology;Ciências Biológicas;Imunologia;Imunologia, Medicina, Pesquisa e Experimentação;Web of Science;3,5;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=HYDROLOGY&btnG=
HYDROLOGY AND EARTH SYSTEM SCIENCES;1027-5606;http://www.hydrology-and-earth-system-sciences.net/;Ciências Biológicas;Imunologia;Imunologia, Medicina, Pesquisa e Experimentação;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=HYDROLOGY%20AND%20EARTH%20SYSTEM%20SCIENCES&btnG=
HYDROLOGY RESEARCH;1998-9563;https://iwaponline.com/hr;Engenharias;Engenharia de Materiais e Metalúrgica;Aplicada, Ciência dos Materiais, Multidisciplinar, Física;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=HYDROLOGY%20RESEARCH&btnG=
HYDROMETALLURGY;0304-386X;https://www.journals.elsevier.com/hydrometallurgy;Outras / Não Classificado;Geral / Multidisciplinar;Ciências Ambientais, Ciência do Solo, Recursos Hídricos;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=HYDROMETALLURGY&btnG=
HYGIENE;2673-947X;;Outras / Não Classificado;Geral / Multidisciplinar;Ciências e Serviços de Saúde;Web of Science;6;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=HYGIENE&btnG=
HYGIENE AND ENVIRONMENTAL HEALTH ADVANCES;2773-0492;;Outras / Não Classificado;Geral / Multidisciplinar;Doenças Vasculares Periféricas;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=HYGIENE%20AND%20ENVIRONMENTAL%20HEALTH%20ADVANCES&btnG=
HYPATIA-A JOURNAL OF FEMINIST PHILOSOPHY;0887-5367;https://www.cambridge.org/core/journals/hypatia;Ciências da Saúde;Medicina;Doenças Vasculares Periféricas, Cirurgia, Doenças Vasculares Periféricas;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=HYPATIA-A%20JOURNAL%20OF%20FEMINIST%20PHILOSOPHY&btnG=
HYPERTENSION;0194-911X;http://hyper.ahajournals.org;Outras / Não Classificado;Geral / Multidisciplinar;Doenças Vasculares Periféricas;Web of Science;3,3;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=HYPERTENSION&btnG=
HYPERTENSION IN PREGNANCY;1064-1955;https://www.tandfonline.com/toc/ihip20/current;Ciências Biológicas;Farmacologia;Farmacologia e Farmácia;Web of Science;3,5;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=HYPERTENSION%20IN%20PREGNANCY&btnG=
HYPERTENSION RESEARCH;0916-9636;https://www.nature.com/hr/;Outras / Não Classificado;Geral / Multidisciplinar;Saúde Ambiental e Ocupacional, Doenças Infecciosas, Saúde Pública;Web of Science;2,1;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=HYPERTENSION%20RESEARCH&btnG=
HYPERTENSION RESEARCH IN PREGNANCY;2187-5987;https://www.jstage.jst.go.jp/browse/jsshp/list/-char/en;Outras / Não Classificado;Geral / Multidisciplinar;Ciências Vegetais, Paleontologia;Web of Science;1,9;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=HYPERTENSION%20RESEARCH%20IN%20PREGNANCY&btnG=
HYPNOS;1413-9138;https://hypnos.org.br/index.php/hypnos/index;Engenharias;Engenharia Mecânica;Engenharia Mecânica;Web of Science;3,9;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=HYPNOS&btnG=
HYSTRIX-ITALIAN JOURNAL OF MAMMALOGY;0394-1914;http://www.italian-journal-of-mammalogy.it/;Engenharias;Engenharia de Transportes;Telecomunicações, Ciência e Tecnologia dos Transportes;Web of Science;6,5;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=HYSTRIX-ITALIAN%20JOURNAL%20OF%20MAMMALOGY&btnG=
Habitat International;0197-3975;https://www.journals.elsevier.com/habitat-international;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental, Ciências Sociais;Scopus;7;Q1;1,892;Q1;140.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Habitat%20International&btnG=
Habitat Sustentable;0719-0700;http://www.revistahabitatsustentable.cl;Engenharias;Engenharia de Materiais e Metalúrgica;Ciência dos Materiais, Ciências Sociais, Energia, Engenharia, Psicologia;Scopus;-;-;0,216;Q2;7.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Habitat%20Sustentable&btnG=
Hacettepe Egitim Dergisi;1300-5340;http://www.efdergi.hacettepe.edu.tr/anasayfa.html;Outras / Não Classificado;Geral / Multidisciplinar;Ciências Sociais;Scopus;-;-;0,167;Q4;24.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Hacettepe%20Egitim%20Dergisi&btnG=
Hacettepe Journal of Mathematics and Statistics;2651-477X;http://www.hjms.hacettepe.edu.tr/;Ciências Exatas e da Terra;Matemática;Matemática;Scopus;-;-;0,411;Q2;42.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Hacettepe%20Journal%20of%20Mathematics%20and%20Statistics&btnG=
Hacettepe University Journal of the Faculty of Pharmacy;1300-0608;;Ciências Biológicas;Farmacologia;Farmacologia, Toxicologia e Produtos Farmacêuticos;Scopus;-;-;0,162;Q4;10.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Hacettepe%20University%20Journal%20of%20the%20Faculty%20of%20Pharmacy&btnG=
Hacia la Promocion de la Salud;0121-7577;http://promocionsalud.ucaldas.edu.co/;Ciências da Saúde;Medicina;Ciências Sociais, Enfermagem, Medicina, Profissões da Saúde;Scopus;-;-;0,146;Q3;8.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Hacia%20la%20Promocion%20de%20la%20Salud&btnG=
Hacienda Publica Espanola;2386-4176;https://hpe-rpe.org;Ciências Sociais Aplicadas;Economia;Econometria e Finanças, Economia;Scopus;0,5;Q4;0,229;Q3;17.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Hacienda%20Publica%20Espanola&btnG=
Hacquetia;1581-4661;https://ojs.zrc-sazu.si/hacquetia;Outras / Não Classificado;Geral / Multidisciplinar;Ciências Agrárias e Biológicas;Scopus;-;-;0,251;Q3;18.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Hacquetia&btnG=
Haematologica;1592-8721;http://www.haematologica.org;Ciências da Saúde;Medicina;Medicina;Scopus;7,9;Q1;2,534;Q1;179.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Haematologica&btnG=
Haemophilia;1351-8216;https://onlinelibrary.wiley.com/journal/13652516;Ciências da Saúde;Medicina;Medicina;Scopus;3;Q2;0,961;Q1;112.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Haemophilia&btnG=
Hagiographica;1124-1225;https://www.mirabileweb.it/edgalluzzo/periodici/3;Lingüística, Letras e Artes;Artes;Artes e Humanidades;Scopus;0,1;-;0,101;Q4;3.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Hagiographica&btnG=
Hague Journal of Diplomacy;1871-191X;http://brill.publisher.ingentaconnect.com/content/mnp/hjd;Outras / Não Classificado;Geral / Multidisciplinar;Ciências Sociais;Scopus;-;-;0,325;Q2;35.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Hague%20Journal%20of%20Diplomacy&btnG=
Hague Journal on the Rule of Law;1876-4053;https://www.springer.com/journal/40803;Outras / Não Classificado;Geral / Multidisciplinar;Ciências Sociais;Scopus;3,3;Q1;0,909;Q1;29.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Hague%20Journal%20on%20the%20Rule%20of%20Law&btnG=
Haide Estudis Maragallians;2014-3818;https://www.raco.cat/index.php/Haide/issue/archive;Lingüística, Letras e Artes;Artes;Artes e Humanidades, Ciências Sociais;Scopus;-;-;0,101;Q4;2.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Haide%20Estudis%20Maragallians&btnG=
Haiyang Xuebao;0253-4193;http://www.hyxbocean.cn;Outras / Não Classificado;Geral / Multidisciplinar;Ciências Agrárias e Biológicas, Ciências da Terra e Planetárias, Engenharia;Scopus;-;-;0,194;Q4;16.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Haiyang%20Xuebao&btnG=
Halduskultuur;1736-6089;http://halduskultuur.eu/journal/index.php/HKAC/index;Outras / Não Classificado;Geral / Multidisciplinar;Ciências Sociais;Scopus;-;-;0,177;Q4;17.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Halduskultuur&btnG=
Hamdard Islamicus;0250-7196;https://hamdardislamicus.com.pk/index.php/hi;Lingüística, Letras e Artes;Artes;Artes e Humanidades, Ciências Sociais;Scopus;-;-;0,148;Q2;8.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Hamdard%20Islamicus&btnG=
Hamostaseologie;2567-5761;https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00034925;Ciências da Saúde;Medicina;Medicina;Scopus;2,4;Q2;0,562;Q3;43.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Hamostaseologie&btnG=
Hamsa;2183-2633;https://journals.openedition.org/hamsa/;Lingüística, Letras e Artes;Artes;Artes e Humanidades, Ciências Sociais;Scopus;-;-;0,101;Q4;2.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Hamsa&btnG=
Hand;1558-9447;https://us.sagepub.com/en-us/nam/hand/journal202454;Ciências da Saúde;Medicina;Medicina;Scopus;-;-;0,756;Q1;54.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Hand&btnG=
Hand Clinics;1558-1969;https://www.journals.elsevier.com/hand-clinics;Ciências da Saúde;Medicina;Medicina;Scopus;1,1;Q3;0,584;Q2;73.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Hand%20Clinics&btnG=
Hand Surgery and Rehabilitation;2468-1229;https://www.journals.elsevier.com/hand-surgery-and-rehabilitation;Ciências da Saúde;Medicina;Medicina;Scopus;1;Q3;0,512;Q2;41.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Hand%20Surgery%20and%20Rehabilitation&btnG=
Hand Therapy;1758-9983;http://hth.sagepub.com/;Ciências da Saúde;Medicina;Medicina;Scopus;0,6;Q4;0,304;Q3;20.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Hand%20Therapy&btnG=
Handchirurgie Mikrochirurgie Plastische Chirurgie;0722-1819;https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00000023;Ciências da Saúde;Medicina;Medicina;Scopus;0,6;Q4;0,197;Q3;36.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Handchirurgie%20Mikrochirurgie%20Plastische%20Chirurgie&btnG=
Handelingen van de Koninklijke Commissie voor Toponymie;0774-8396;http://www.toponymie-dialectologie.be/fr/bulletins-commission-royale-toponymie-dialectologie/;Outras / Não Classificado;Geral / Multidisciplinar;Ciências Sociais;Scopus;-;-;0,103;Q4;3.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Handelingen%20van%20de%20Koninklijke%20Commissie%20voor%20Toponymie&btnG=
Hangkong Dongli Xuebao/Journal of Aerospace Power;1000-8055;http://www.jasp.com.cn/hkdlxb/index.htm;Outras / Não Classificado;Geral / Multidisciplinar;Engenharia, Matemática;Scopus;-;-;0,301;Q3;32.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Hangkong%20Dongli%20Xuebao/Journal%20of%20Aerospace%20Power&btnG=
Hangkong Xuebao/Acta Aeronautica et Astronautica Sinica;1000-6893;http://hkxb.buaa.edu.cn/CN/1000-6893/home.shtml;Outras / Não Classificado;Geral / Multidisciplinar;Ciências da Terra e Planetárias, Engenharia, Matemática;Scopus;-;-;0,435;Q2;51.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Hangkong%20Xuebao/Acta%20Aeronautica%20et%20Astronautica%20Sinica&btnG=
Hanjie Xuebao/Transactions of the China Welding Institution;0253-360X;;Outras / Não Classificado;Geral / Multidisciplinar;Engenharia;Scopus;-;-;0,223;Q3;24.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Hanjie%20Xuebao/Transactions%20of%20the%20China%20Welding%20Institution&btnG=
Hanneng Cailiao/Chinese Journal of Energetic Materials;1006-9941;;Engenharias;Engenharia de Materiais e Metalúrgica;Ciência dos Materiais, Engenharia, Química;Scopus;-;-;0,303;Q3;29.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Hanneng%20Cailiao/Chinese%20Journal%20of%20Energetic%20Materials&btnG=
Harbin Gongcheng Daxue Xuebao/Journal of Harbin Engineering University;1006-7043;;Outras / Não Classificado;Geral / Multidisciplinar;Energia, Engenharia, Engenharia Química;Scopus;-;-;0,242;Q3;22.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Harbin%20Gongcheng%20Daxue%20Xuebao/Journal%20of%20Harbin%20Engineering%20University&btnG=
Harbin Gongye Daxue Xuebao/Journal of Harbin Institute of Technology;0367-6234;;Outras / Não Classificado;Geral / Multidisciplinar;Engenharia;Scopus;-;-;0,26;Q3;32.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Harbin%20Gongye%20Daxue%20Xuebao/Journal%20of%20Harbin%20Institute%20of%20Technology&btnG=
HardwareX;2468-0672;https://www.journals.elsevier.com/hardwarex;Ciências Exatas e da Terra;Astronomia;Engenharia, Física e Astronomia;Scopus;-;-;0,475;Q2;34.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=HardwareX&btnG=
Hardy-Ramanujan Journal;2804-7370;;Ciências Exatas e da Terra;Matemática;Matemática;Scopus;-;-;0,345;Q3;5.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Hardy-Ramanujan%20Journal&btnG=
Harm Reduction Journal;1477-7517;https://harmreductionjournal.biomedcentral.com/;Ciências da Saúde;Medicina;Medicina;Scopus;-;-;1,513;Q1;76.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Harm%20Reduction%20Journal&btnG=
Harmful Algae;1878-1470;https://www.journals.elsevier.com/harmful-algae;Outras / Não Classificado;Geral / Multidisciplinar;Ciências Agrárias e Biológicas;Scopus;4,5;Q1;1,335;Q1;125.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Harmful%20Algae&btnG=
Harmonia: Journal of Arts Research and Education;1411-5115;http://journal.unnes.ac.id/nju/index.php/harmonia/issue/archive;Lingüística, Letras e Artes;Artes;Artes e Humanidades, Ciências Sociais;Scopus;-;-;0,259;Q1;8.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Harmonia%3A%20Journal%20of%20Arts%20Research%20and%20Education&btnG=
Hart's E and P;1527-4063;;Outras / Não Classificado;Geral / Multidisciplinar;Energia;Scopus;-;-;0,101;Q4;10.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Hart%27s%20E%20and%20P&btnG=
Harvard Business Review;0017-8012;https://hbrarabic.com;Ciências da Saúde;Medicina;Econometria e Finanças, Economia, Gestão e Contabilidade, Medicina, Negócios;Scopus;7,8;Q1;0,356;Q3;221.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Harvard%20Business%20Review&btnG=
Harvard Civil Rights-Civil Liberties Law Review;0017-8039;http://www.harvardcrcl.org/;Outras / Não Classificado;Geral / Multidisciplinar;Ciências Sociais;Scopus;-;-;0,764;Q1;33.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Harvard%20Civil%20Rights-Civil%20Liberties%20Law%20Review&btnG=
Harvard Design Magazine;1093-4421;http://www.gsd.harvard.edu/research/publications/hdm/;Lingüística, Letras e Artes;Artes;Artes e Humanidades, Ciências Sociais, Engenharia;Scopus;-;-;0,101;Q4;9.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Harvard%20Design%20Magazine&btnG=
Harvard Environmental Law Review;0147-8257;http://harvardelr.com/;Outras / Não Classificado;Geral / Multidisciplinar;Ciência Ambiental, Ciências Sociais;Scopus;-;-;0,262;Q2;35.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Harvard%20Environmental%20Law%20Review&btnG=
Harvard International Law Journal;0017-8063;http://www.harvardilj.org/;Outras / Não Classificado;Geral / Multidisciplinar;Ciências Sociais;Scopus;1,7;Q1;0,687;Q1;56.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Harvard%20International%20Law%20Journal&btnG=
Harvard Journal of Asiatic Studies;1944-6454;http://www.hjas.org/;Lingüística, Letras e Artes;Artes;Artes e Humanidades, Ciências Sociais;Scopus;0,2;Q2;0,102;Q4;4.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Harvard%20Journal%20of%20Asiatic%20Studies&btnG=
Harvard Journal of Law and Public Policy;0193-4872;http://www.harvard-jlpp.com/;Outras / Não Classificado;Geral / Multidisciplinar;Ciências Sociais;Scopus;0,5;Q3;0,384;Q2;33.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Harvard%20Journal%20of%20Law%20and%20Public%20Policy&btnG=
Harvard Journal on Legislation;0017-808X;http://www.law.harvard.edu/students/orgs/jol/;Outras / Não Classificado;Geral / Multidisciplinar;Ciências Sociais;Scopus;0,6;Q2;0,493;Q1;22.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Harvard%20Journal%20on%20Legislation&btnG=
Harvard Kennedy School Misinformation Review;2766-1652;https://misinforeview.hks.harvard.edu;Outras / Não Classificado;Geral / Multidisciplinar;Ciências Sociais;Scopus;-;-;1,362;Q1;37.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Harvard%20Kennedy%20School%20Misinformation%20Review&btnG=
Harvard Law Review;0017-811X;http://www.harvardlawreview.org/;Outras / Não Classificado;Geral / Multidisciplinar;Ciências Sociais;Scopus;3,7;Q1;2,068;Q1;103.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Harvard%20Law%20Review&btnG=
Harvard Papers in Botany;1043-4534;http://huh.harvard.edu/pages/publications;Outras / Não Classificado;Geral / Multidisciplinar;Ciências Agrárias e Biológicas;Scopus;-;-;0,208;Q4;12.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Harvard%20Papers%20in%20Botany&btnG=
Harvard Review of Psychiatry;1465-7309;http://journals.lww.com/hrpjournal/pages/default.aspx;Ciências da Saúde;Medicina;Medicina;Scopus;3,4;Q2;1,062;Q2;101.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Harvard%20Review%20of%20Psychiatry&btnG=
Harvard Theological Review;1475-4517;http://www.hds.harvard.edu/faculty-research/research-publications/harvard-theological-review;Lingüística, Letras e Artes;Artes;Artes e Humanidades;Scopus;0,5;-;0,152;Q2;36.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Harvard%20Theological%20Review&btnG=
Hasanuddin Law Review;2442-9880;http://pasca.unhas.ac.id/ojs/index.php/halrev;Outras / Não Classificado;Geral / Multidisciplinar;Ciências Sociais;Scopus;-;-;0,455;Q1;11.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Hasanuddin%20Law%20Review&btnG=
Haseki Tip Bulteni;2147-2688;http://www.hasekidergisi.com/home/;Ciências da Saúde;Medicina;Medicina;Scopus;0,2;Q4;0,145;Q4;8.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Haseki%20Tip%20Bulteni&btnG=
Haseltonia;1070-0048;http://www.cssainc.org;Outras / Não Classificado;Geral / Multidisciplinar;Ciências Agrárias e Biológicas;Scopus;0,4;Q4;0,173;Q4;18.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Haseltonia&btnG=
Haser;2172-055X;http://institucional.us.es/revistahaser/;Lingüística, Letras e Artes;Artes;Artes e Humanidades;Scopus;1,1;-;0,132;Q3;3.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Haser&btnG=
Hastings Center Report;1552-146X;http://www.thehastingscenter.org/Publications/HCR/Default.aspx;Ciências da Saúde;Medicina;Artes e Humanidades, Ciências Sociais, Enfermagem, Medicina;Scopus;2,3;Q1;0,671;Q1;80.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Hastings%20Center%20Report&btnG=
Hattoria;2423-8961;https://www.jstage.jst.go.jp/browse/hattoria/list/-char/ja;Outras / Não Classificado;Geral / Multidisciplinar;Ciências Agrárias e Biológicas;Scopus;-;-;0,218;Q4;6.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Hattoria&btnG=
Haut;0938-2216;;Ciências da Saúde;Medicina;Medicina;Scopus;-;-;0,1;Q4;3.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Haut&btnG=
Hawaii Journal of Health and Social Welfare;2641-5216;http://hawaiijournalhealth.org;Ciências da Saúde;Medicina;Ciências Sociais, Medicina;Scopus;-;-;0,372;Q2;38.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Hawaii%20Journal%20of%20Health%20and%20Social%20Welfare&btnG=
Hawwa;1569-2078;http://brill.publisher.ingentaconnect.com/content/brill/haw;Outras / Não Classificado;Geral / Multidisciplinar;Ciências Sociais;Scopus;0,3;-;0,103;Q4;17.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Hawwa&btnG=
He Jishu/Nuclear Techniques;0253-3219;https://www.hjs.sinap.ac.cn;Ciências Exatas e da Terra;Astronomia;Energia, Física e Astronomia;Scopus;-;-;0,396;Q2;18.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=He%20Jishu/Nuclear%20Techniques&btnG=
He-Huaxue yu Fangshe Huaxue/Journal of Nuclear and Radiochemistry;0253-9950;http://www.jnrc.org.cn/CN/0253-9950/home.shtml;Ciências Exatas e da Terra;Astronomia;Física e Astronomia, Química;Scopus;-;-;0,125;Q4;10.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=He-Huaxue%20yu%20Fangshe%20Huaxue/Journal%20of%20Nuclear%20and%20Radiochemistry&btnG=
Head and Face Medicine;1746-160X;https://head-face-med.biomedcentral.com/;Ciências da Saúde;Medicina;Medicina, Odontologia;Scopus;-;-;0,772;Q1;57.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Head%20and%20Face%20Medicine&btnG=
Head and Neck;1097-0347;https://onlinelibrary.wiley.com/journal/10970347;Ciências da Saúde;Medicina;Medicina;Scopus;2,2;Q1;0,81;Q1;158.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Head%20and%20Neck&btnG=
Head and Neck Pathology;1936-055X;https://link.springer.com/journal/12105;Ciências da Saúde;Medicina;Medicina;Scopus;4,1;Q1;0,985;Q1;79.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Head%20and%20Neck%20Pathology&btnG=
Head and Neck Russian Journal;2310-5194;;Ciências da Saúde;Medicina;Medicina, Odontologia;Scopus;-;-;0,136;Q4;5.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Head%20and%20Neck%20Russian%20Journal&btnG=
Headache;0017-8748;http://www.headachejournal.org/view/0/index.html;Ciências da Saúde;Medicina;Medicina, Neurociência;Scopus;4;Q1;0,905;Q2;154.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Headache&btnG=
Health (United Kingdom);1363-4593;http://www.sagepub.com/journalsProdDesc.nav?prodId=Journal200904;Outras / Não Classificado;Geral / Multidisciplinar;Ciências Sociais;Scopus;2,3;Q2;0,551;Q2;68.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Health%20%28United%20Kingdom%29&btnG=
