Areas,Title,issues,Last volume,Last number,Last year,Is active?
Agricultural Sciences,Fruit Crops Science Journal,2,2,,2026,True
"Applied Social Sciences,Biological Sciences,Human Sciences",Ambiente & Sociedade,56,29,,2026,True
"Applied Social Sciences,Human Sciences",Anais do Museu Paulista: História e Cultura Material,46,34,,2026,True
Applied Social Sciences,BAR - Brazilian Administration Review,85,23,2,2026,True
Applied Social Sciences,BBR. Brazilian Business Review,51,23,,2026,True
"Applied Social Sciences,Human Sciences",Brazilian Journal of Political Economy,183,46,1,2026,True
"Applied Social Sciences,Human Sciences",Caderno CRH,49,39,,2026,True
,,,,,,
Applied Social Sciences,Cadernos EBAPE.BR,110,24,,2026,True
Applied Social Sciences,Cadernos Metrópole,37,28,66,2026,True
,,,,,,
,,,,,,
Applied Social Sciences,Economia e Sociedade,64,35,3,2026,True
Applied Social Sciences,Estudos Econômicos (São Paulo),93,56,2,2026,True
Applied Social Sciences,Galáxia (São Paulo),30,51,,2026,True
"Applied Social Sciences,Human Sciences",Interações (Campo Grande),58,27,,2026,True
Applied Social Sciences,Intercom: Revista Brasileira de Ciências da Comunicação,33,49,,2026,True
Applied Social Sciences,JISTEM - Journal of Information Systems and Technology Management,49,23,,2026,True
Applied Social Sciences,Nova Economia,68,36,2,2026,True
Applied Social Sciences,Organizações & Sociedade,112,33,115,2026,True
Applied Social Sciences,Perspectivas em Ciência da Informação,71,31,,2026,True
,,,,,,
Applied Social Sciences,RAM. Revista de Administração Mackenzie,133,27,4,2026,True
Applied Social Sciences,RAUSP Management Journal,30,61,,2026,True
Applied Social Sciences,REAd. Revista Eletrônica de Administração (Porto Alegre),44,31,,2025,True
"Applied Social Sciences,Human Sciences",REMHU: Revista Interdisciplinar da Mobilidade Humana,35,34,,2026,True
,,,,,,
Applied Social Sciences,Revista Brasileira de Estudos Urbanos e Regionais,19,28,,2026,True
Applied Social Sciences,Revista Brasileira de Estudos de População,40,43,,2026,True
Applied Social Sciences,Revista Brasileira de Gestão de Negócios,73,28,2,2026,True
Applied Social Sciences,Revista Brasileira de Pesquisa em Turismo,23,20,,2026,True
Applied Social Sciences,Revista Contabilidade & Finanças,84,37,101,2026,True
Applied Social Sciences,Revista Direito GV,41,22,,2026,True
Applied Social Sciences,Revista Direito e Práxis,38,17,2,2026,True
Applied Social Sciences,Revista Katálysis,49,29,,2026,True
,,,,,,
Applied Social Sciences,Revista de Administração Contemporânea,163,30,2,2026,True
Applied Social Sciences,Revista de Administração Pública,123,60,,2026,True
Applied Social Sciences,Revista de Administração de Empresas,306,65,6,2025,True
Applied Social Sciences,Revista de Economia Contemporânea,55,30,,2026,True
"Applied Social Sciences,Human Sciences",Revista de Economia e Sociologia Rural,97,64,,2026,True
Applied Social Sciences,Revista de Investigações Constitucionais,37,13,1,2026,True
Applied Social Sciences,Sequência (Florianópolis),40,46,101,2025,True
Applied Social Sciences,Serviço Social & Sociedade,57,149,3,2026,True
"Applied Social Sciences,Human Sciences",Sociedade e Estado,72,41,1,2026,True
,,,,,,
,,,,,,
Applied Social Sciences,Transinformação,63,38,,2026,True
Applied Social Sciences,Turismo: Visão e Ação,17,28,,2026,True
Applied Social Sciences,urbe. Revista Brasileira de Gestão Urbana,29,18,,2026,True
Applied Social Sciences,Revista de Administração da UFSM,27,19,,2026,True
Applied Social Sciences,Brazilian Journalism Research,16,22,1,2026,True
Applied Social Sciences,Revista Brasileira de Direito Processual Penal,14,12,1,2026,True
,,,,,,
Applied Social Sciences,RDBCI: Revista Digital de Biblioteconomia e Ciência da Informação,13,24,,2026,True
Applied Social Sciences,Em Questão,4,32,,2026,True
Applied Social Sciences,Encontros Bibli,5,31,,2026,True
,,,,,,
Applied Social Sciences,Cadernos Gestão Pública e Cidadania,7,31,3,2026,True
Applied Social Sciences,REGEPE Entrepreneurship and Small Business Journal,6,15,,2026,True
Biological Sciences,Acta Botanica Brasilica,123,40,,2026,True
Biological Sciences,Acta Limnologica Brasiliensia,34,38,,2026,True
,,,,,,
Biological Sciences,Biota Neotropica,93,26,2,2026,True
,,,,,,
,,,,,,
Biological Sciences,Brazilian Journal of Biology,103,86,,2026,True
,,,,,,
,,,,,,
"Biological Sciences,Health Sciences",Brazilian Journal of Infectious Diseases,147,30,,2026,True
"Biological Sciences,Health Sciences",Brazilian Journal of Medical and Biological Research,309,59,,2026,True
,,,,,,
,,,,,,
,,,,,,
Biological Sciences,Genetics and Molecular Biology,133,49,2,2026,True
Biological Sciences,Hoehnea,59,53,,2026,True
,,,,,,
"Biological Sciences,Health Sciences",Memórias do Instituto Oswaldo Cruz,494,121,,2026,True
Biological Sciences,Nauplius,21,34,,2026,True
,,,,,,
Biological Sciences,Neotropical Ichthyology,92,24,2,2026,True
Biological Sciences,Papéis Avulsos de Zoologia,462,66,,2026,True
,,,,,,
Biological Sciences,Revista Brasileira de Entomologia,102,70,2,2026,True
,,,,,,
,,,,,,
Biological Sciences,Revista Brasileira de Parasitologia Veterinária,78,35,3,2026,True
,,,,,,
"Biological Sciences,Health Sciences",Revista do Instituto de Medicina Tropical de São Paulo,208,68,,2026,True
Biological Sciences,Rodriguésia,89,77,,2026,True
Biological Sciences,Zoologia (Curitiba),56,43,,2026,True
Engineering,Ambiente Construído,60,26,,2026,True
,,,,,,
Engineering,Cerâmica,111,72,,2026,True
Engineering,Engenharia Sanitaria e Ambiental,92,31,,2026,True
Engineering,Gestão & Produção,102,33,,2026,True
Engineering,Journal of Aerospace Technology and Management,41,18,,2026,True
Engineering,"Journal of Microwaves, Optoelectronics and Electromagnetic Applications",53,25,1,2026,True
,,,,,,
,,,,,,
,,,,,,
Engineering,Latin American Journal of Solids and Structures,164,23,12,2026,True
Engineering,Materials Research,136,29,,2026,True
Engineering,Matéria (Rio de Janeiro),79,31,,2026,True
Engineering,Pesquisa Operacional,68,46,,2026,True
Engineering,Polímeros,133,36,2,2026,True
Engineering,Production,86,36,,2026,True
Engineering,RBRH,14,31,,2026,True
Engineering,REM - International Engineering Journal,43,79,2,2026,True
,,,,,,
,,,,,,
,,,,,,
Engineering,Revista IBRACON de Estruturas e Materiais,104,19,2,2026,True
Engineering,Soldagem & Inspeção,48,31,,2026,True
Engineering,Soils and Rocks,24,49,4,2026,True
Engineering,Eletrônica de Potência,2,31,,2026,True
"Engineering,Health Sciences",Brazilian Journal of Radiation Sciences,5,14,1,2026,True
Exact and Earth Sciences,Boletim de Ciências Geodésicas,59,32,,2026,True
Exact and Earth Sciences,Brazilian Journal of Geology,49,56,,2026,True
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Exact and Earth Sciences,Journal of the Brazilian Chemical Society,285,37,,2026,True
,,,,,,
Exact and Earth Sciences,Ocean and Coastal Research,14,74,,2026,True
Exact and Earth Sciences,Química Nova,251,49,,2026,True
,,,,,,
Exact and Earth Sciences,Revista Brasileira de Meteorologia,71,41,,2026,True
,,,,,,
,,,,,,
Exact and Earth Sciences,Trends in Computational and Applied Mathematics,15,27,,2026,True
,,,,,,
Exact and Earth Sciences,Anuário do Instituto de Geociências,3,49,,2026,True
Health Sciences,ABCD. Arquivos Brasileiros de Cirurgia Digestiva (São Paulo),69,39,,2026,True
Health Sciences,Acta Cirúrgica Brasileira,245,41,,2026,True
Health Sciences,Acta Ortopédica Brasileira,154,34,3,2026,True
Health Sciences,Acta Paulista de Enfermagem,96,39,,2026,True
Health Sciences,Advances in Rheumatology,9,66,,2026,True
Health Sciences,Anais Brasileiros de Dermatologia,156,101,2,2026,True
,,,,,,
Health Sciences,Archives of Endocrinology and Metabolism,66,70,4,2026,True
Health Sciences,Arquivos Brasileiros de Cardiologia,438,123,5,2026,True
,,,,,,
Health Sciences,Arquivos Brasileiros de Oftalmologia,222,89,3,2026,True
,,,,,,
Health Sciences,Arquivos de Gastroenterologia,105,63,,2026,True
Health Sciences,Arquivos de Neuro-Psiquiatria,485,84,8,2026,True
Health Sciences,Audiology - Communication Research,23,31,,2026,True
Health Sciences,BrJP,29,9,,2026,True
Health Sciences,Brazilian Dental Journal,115,37,,2026,True
Health Sciences,Brazilian Journal of Cardiovascular Surgery,180,41,3,2026,True
Health Sciences,Brazilian Journal of Nephrology,75,48,4,2026,True
Health Sciences,Brazilian Journal of Oral Sciences,18,25,,2026,True
Health Sciences,Brazilian Journal of Otorhinolaryngology,104,92,,2026,True
Health Sciences,Brazilian Journal of Pharmaceutical Sciences,50,62,,2026,True
,,,,,,
Health Sciences,Brazilian Journal of Psychiatry,145,48,,2026,True
Health Sciences,Brazilian Oral Research,76,40,,2026,True
Health Sciences,Cadernos Brasileiros de Terapia Ocupacional,21,34,,2026,True
Health Sciences,Cadernos Saúde Coletiva,55,34,1,2026,True
Health Sciences,Cadernos de Saúde Pública,393,42,,2026,True
Health Sciences,Ciência & Saúde Coletiva,257,31,5,2026,True
Health Sciences,Clinics,146,81,,2026,True
Health Sciences,CoDAS,83,38,4,2026,True
Health Sciences,Coluna/Columna,72,25,2,2026,True
"Health Sciences,Human Sciences",Dementia & Neuropsychologia,70,20,,2026,True
Health Sciences,Dental Press Journal of Orthodontics,98,31,2,2026,True
Health Sciences,einstein (São Paulo),62,24,,2026,True
Health Sciences,Epidemiologia e Serviços de Saúde,48,35,,2026,True
Health Sciences,Escola Anna Nery,76,30,,2026,True
Health Sciences,Fisioterapia e Pesquisa,64,33,,2026,True
Health Sciences,Fisioterapia em Movimento,43,39,,2026,True
Health Sciences,"Hematology, Transfusion and Cell Therapy",40,48,1,2026,True
"Health Sciences,Human Sciences","História, Ciências, Saúde-Manguinhos",137,33,,2026,True
"Health Sciences,Human Sciences","Interface - Comunicação, Saúde, Educação",88,30,,2026,True
Health Sciences,International Archives of Otorhinolaryngology,58,30,2,2026,True
Health Sciences,International Journal of Cardiovascular Sciences,41,39,,2026,True
Health Sciences,International braz j urol,143,52,3,2026,True
,,,,,,
,,,,,,
Health Sciences,Jornal Brasileiro de Psiquiatria,79,75,,2026,True
Health Sciences,Jornal Vascular Brasileiro,63,25,,2026,True
,,,,,,
Health Sciences,Jornal de Pediatria,177,102,2,2026,True
,,,,,,
Health Sciences,Journal of Applied Oral Science,96,34,,2026,True
Health Sciences,Journal of Coloproctology (Rio de Janeiro),60,46,1,2026,True
,,,,,,
Health Sciences,Journal of Inborn Errors of Metabolism and Screening,13,14,,2026,True
Health Sciences,Journal of Physical Education,11,37,,2026,True
,,,,,,
,,,,,,
Health Sciences,Pesquisa Brasileira em Odontopediatria e Clínica Integrada,10,26,,2026,True
,,,,,,
"Health Sciences,Human Sciences",Physis: Revista de Saúde Coletiva,101,36,4,2026,True
,,,,,,
,,,,,,
Health Sciences,RGO - Revista Gaúcha de Odontologia,28,74,,2026,True
Health Sciences,Radiologia Brasileira,141,59,,2026,True
"Health Sciences,Human Sciences",Revista Bioética,39,34,,2026,True
,,,,,,
,,,,,,
Health Sciences,Revista Brasileira de Cineantropometria & Desempenho Humano,63,28,,2026,True
Health Sciences,Revista Brasileira de Cirurgia Plástica,59,41,,2026,True
,,,,,,
Health Sciences,Revista Brasileira de Ciências do Esporte,46,48,,2026,True
,,,,,,
,,,,,,
"Health Sciences,Human Sciences",Revista Brasileira de Educação Médica,153,50,2,2026,True
Health Sciences,Revista Brasileira de Enfermagem,285,79,,2026,True
Health Sciences,Revista Brasileira de Epidemiologia,104,29,,2026,True
,,,,,,
"Health Sciences,Human Sciences",Revista Brasileira de Geriatria e Gerontologia,80,29,,2026,True
Health Sciences,Revista Brasileira de Ginecologia e Obstetrícia,301,48,,2026,True
,,,,,,
,,,,,,
Health Sciences,Revista Brasileira de Oftalmologia,93,85,,2026,True
Health Sciences,Revista Brasileira de Ortopedia,124,61,1,2026,True
,,,,,,
,,,,,,
Health Sciences,Revista Brasileira de Saúde Materno Infantil,100,26,,2026,True
Health Sciences,Revista Brasileira de Saúde Ocupacional,39,51,,2026,True
,,,,,,
Health Sciences,Revista CEFAC,131,28,4,2026,True
,,,,,,
,,,,,,
Health Sciences,Revista Gaúcha de Enfermagem,50,47,,2026,True
Health Sciences,Revista Latino-Americana de Enfermagem,143,34,,2026,True
,,,,,,
Health Sciences,Revista Paulista de Pediatria,58,44,,2026,True
Health Sciences,Revista da Associação Médica Brasileira,227,72,5,2026,True
,,,,,,
Health Sciences,Revista da Escola de Enfermagem da USP,199,60,,2026,True
,,,,,,
Health Sciences,Revista da Sociedade Brasileira de Medicina Tropical,278,59,,2026,True
Health Sciences,Revista de Nutrição,117,39,,2026,True
Health Sciences,Revista de Odontologia da UNESP,46,55,,2026,True
,,,,,,
,,,,,,
Health Sciences,Revista de Saúde Pública,301,60,,2026,True
Health Sciences,Revista do Colégio Brasileiro de Cirurgiões,141,53,,2026,True
,,,,,,
Health Sciences,Sao Paulo Medical Journal,196,144,3,2026,True
"Health Sciences,Human Sciences",Saúde e Sociedade,116,35,2,2026,True
Health Sciences,Saúde em Debate,101,50,149,2026,True
Health Sciences,Texto & Contexto - Enfermagem,74,35,,2026,True
"Health Sciences,Human Sciences","Trabalho, Educação e Saúde",62,24,,2026,True
Health Sciences,Trends in Psychiatry and Psychotherapy,47,48,,2026,True
,,,,,,
"Health Sciences,Human Sciences",Movimento,12,32,,2026,True
Health Sciences,Brazilian Journal of Anesthesiology,32,76,2,2026,True
Health Sciences,Cogitare Enfermagem,6,31,,2026,True
Health Sciences,Critical Care Science,7,38,,2026,True
Health Sciences,Brazilian Journal of Transplantation,4,29,,2026,True
Health Sciences,Revista Brasileira de Cancerologia,11,72,2,2026,True
Health Sciences,ABC Imagem Cardiovascular,6,39,1,2026,True
Health Sciences,Revista Brasileira de Atividade Física e Saúde,3,31,,2026,True
Health Sciences,Brazilian Dental Science,1,29,,2026,True
Health Sciences,Revista Brasileira de Medicina do Trabalho,2,24,,2026,True
Health Sciences,Respiratory Research & Clinical Practice,1,52,1,2026,True
,,,,,,
Human Sciences,Almanack,40,40,,2026,True
Human Sciences,Avaliação: Revista da Avaliação da Educação Superior (Campinas),52,31,,2026,True
Human Sciences,Bolema: Boletim de Educação Matemática,40,40,,2026,True
Human Sciences,Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas,62,21,2,2026,True
Human Sciences,Brazilian Political Science Review,53,20,2,2026,True
Human Sciences,Cadernos CEDES,86,46,,2026,True
Human Sciences,Cadernos Nietzsche,38,47,1,2026,True
Human Sciences,Cadernos Pagu,60,,76,2026,True
Human Sciences,Cadernos de Pesquisa,79,56,,2026,True
Human Sciences,Civitas - Revista de Ciências Sociais,40,26,,2026,True
Human Sciences,Ciência & Educação (Bauru),74,32,,2026,True
Human Sciences,Contexto Internacional,63,48,1,2026,True
Human Sciences,Dados,117,69,1,2026,True
Human Sciences,Educar em Revista,98,42,,2026,True
Human Sciences,Educação & Realidade,45,51,,2026,True
Human Sciences,Educação & Sociedade,96,47,,2026,True
Human Sciences,Educação e Pesquisa,70,52,,2026,True
Human Sciences,Educação em Revista,44,42,,2026,True
Human Sciences,Ensaio Pesquisa em Educação em Ciências (Belo Horizonte),54,28,,2026,True
Human Sciences,Ensaio: Avaliação e Políticas Públicas em Educação,88,34,131,2026,True
,,,,,,
Human Sciences,Estudos Avançados,116,40,116,2026,True
Human Sciences,Estudos Históricos (Rio de Janeiro),47,39,87,2026,True
Human Sciences,Estudos de Psicologia (Campinas),89,43,,2026,True
,,,,,,
Human Sciences,Fractal: Revista de Psicologia,49,38,,2026,True
Human Sciences,História (São Paulo),36,45,,2026,True
Human Sciences,História da Educação,27,30,,2026,True
Human Sciences,Horizontes Antropológicos,74,32,74,2026,True
Human Sciences,Kriterion: Revista de Filosofia,62,67,163,2026,True
Human Sciences,Lua Nova: Revista de Cultura e Política,123,,127,2026,True
Human Sciences,Mana,75,32,1,2026,True
Human Sciences,Manuscrito,53,49,2,2026,True
Human Sciences,Mercator (Fortaleza),21,25,,2026,True
Human Sciences,Novos estudos CEBRAP,63,45,1,2026,True
Human Sciences,Opinião Pública,61,32,,2026,True
Human Sciences,Paidéia (Ribeirão Preto),74,36,,2026,True
Human Sciences,Pro-Posições,42,37,,2026,True
Human Sciences,Psico-USF,69,31,,2026,True
Human Sciences,Psicologia & Sociedade,63,38,,2026,True
,,,,,,
Human Sciences,Psicologia Escolar e Educacional,60,30,,2026,True
Human Sciences,Psicologia USP,74,37,,2026,True
Human Sciences,Psicologia em Estudo,58,31,,2026,True
Human Sciences,Psicologia: Ciência e Profissão,138,46,,2026,True
Human Sciences,Psicologia: Reflexão e Crítica,73,38,,2025,True
Human Sciences,Psicologia: Teoria e Pesquisa,81,42,,2026,True
Human Sciences,Religião & Sociedade,48,46,1,2026,True
Human Sciences,Revista Archai,14,36,,2026,True
Human Sciences,Revista Brasileira de Ciência Política,43,45,,2026,True
Human Sciences,Revista Brasileira de Ciências Sociais,83,41,,2026,True
Human Sciences,Revista Brasileira de Educação,67,31,,2026,True
Human Sciences,Revista Brasileira de Educação Especial,64,32,,2026,True
Human Sciences,Revista Brasileira de Ensino de Física,89,48,,2026,True
Human Sciences,Revista Brasileira de Estudos Pedagógicos,35,106,,2025,True
Human Sciences,Revista Brasileira de História,68,46,,2026,True
Human Sciences,Revista Brasileira de História da Educação,9,26,,2026,True
Human Sciences,Revista Brasileira de Política Internacional,63,69,1,2026,True
Human Sciences,Revista Estudos Feministas,74,34,1,2026,True
Human Sciences,Revista Latinoamericana de Psicopatologia Fundamental,107,29,,2026,True
,,,,,,
Human Sciences,Revista de Antropologia,31,69,,2026,True
Human Sciences,Revista de História (São Paulo),18,,185,2026,True
Human Sciences,Revista de Sociologia e Política,76,34,,2026,True
,,,,,,
Human Sciences,Revista do Instituto de Estudos Brasileiros,40,,93,2026,True
,,,,,,
Human Sciences,"Sexualidad, Salud y Sociedad (Rio de Janeiro)",37,,42,2026,True
Human Sciences,Sociedade & Natureza,44,38,,2026,True
Human Sciences,Sociologia & Antropologia,43,16,1,2026,True
Human Sciences,Sociologias,62,28,,2026,True
Human Sciences,Tempo,52,32,1,2026,True
Human Sciences,Tempo Social,80,38,1,2026,True
,,,,,,
Human Sciences,Trans/Form/Ação,116,49,1,2026,True
,,,,,,
Human Sciences,Varia Historia,52,42,,2026,True
Human Sciences,Vibrant: Virtual Brazilian Anthropology,26,23,,2026,True
Human Sciences,Ágora: Estudos em Teoria Psicanalítica,59,29,,2026,True
Human Sciences,Perspectiva Teológica,19,58,1,2026,True
Human Sciences,Dilemas: Revista de Estudos de Conflito e Controle Social,20,19,1,2026,True
Human Sciences,GEOUSP,16,30,,2026,True
Human Sciences,Revista Brasileira de Inovação,11,25,,2026,True
Human Sciences,Filosofia Unisinos,15,27,1,2026,True
Human Sciences,Geopauta,5,10,,2026,True
Human Sciences,Revista Brasileira de Psicodrama,8,34,,2026,True
"Human Sciences,Linguistics, Letters and Arts",Texto Livre,8,19,,2026,True
Human Sciences,História da Historiografia,8,19,,2026,True
Human Sciences,Revista de Filosofia Aurora,4,38,,2026,True
Human Sciences,Revista NERA,9,29,1,2026,True
Human Sciences,Mediações,23,31,,2026,True
Human Sciences,Anuário Antropológico,4,51,,2026,True
Human Sciences,Educação & Formação (Fortaleza),2,11,,2026,True
Human Sciences,Childhood & Philosophy (Rio de Janeiro),1,22,,2026,True
"Linguistics, Letters and Arts",ARS (São Paulo),52,24,,2026,True
"Linguistics, Letters and Arts",Alea: Estudos Neolatinos,57,28,1,2026,True
"Linguistics, Letters and Arts",Alfa: Revista de Linguística (São José do Rio Preto),31,70,,2026,True
"Linguistics, Letters and Arts",Bakhtiniana: Revista de Estudos do Discurso,51,21,2,2026,True
"Linguistics, Letters and Arts",Cadernos de Tradução,42,46,,2026,True
"Linguistics, Letters and Arts",DELTA: Documentação de Estudos em Lingüística Teórica e Aplicada,99,42,2,2026,True
"Linguistics, Letters and Arts",Estudos de Literatura Brasileira Contemporânea,41,,75,2026,True
"Linguistics, Letters and Arts",Ilha do Desterro,33,79,,2026,True
,,,,,,
"Linguistics, Letters and Arts",Linguagem em (Dis)curso,64,26,,2026,True
,,,,,,
"Linguistics, Letters and Arts",Pandaemonium Germanicum,42,29,,2026,True
"Linguistics, Letters and Arts",Per Musi,20,26,,2025,True
,,,,,,
"Linguistics, Letters and Arts",Revista Brasileira de Linguística Aplicada,83,26,2,2026,True
"Linguistics, Letters and Arts",Revista Brasileira de Literatura Comparada,15,28,,2026,True
"Linguistics, Letters and Arts",Trabalhos em Linguística Aplicada,54,65,,2026,True
"Linguistics, Letters and Arts",Gragoatá,13,31,69,2026,True
"Linguistics, Letters and Arts",Revista Vórtex,3,14,,2026,True
"Linguistics, Letters and Arts",Opus (Associação Nacional de Pesquisa e Pós-Graduação em Música),3,32,,2026,True
