Título da Revista;ISSN;Homepage;Aims and Scope: ;Aims and Scope (translate);Área;Subárea;Sub-subárea;Indexador;JIF;Quartil JCR;SJR;SJR Best Quartile;H index;Índice h5
ALTERNATIVES;0304-3754;http://www.csds.in/index.php/;Aims and Scope: Canada. Alternatives works to promote justice and equality amongst individuals and communities worldwide. Active in over 35 countries, Alternatives supports;Aims and Scope: Canada. Alternatives works to promote justice and equality amongst individuals and communities worldwide. Active in over 35 countries, Alternatives supports;Ciências Agrárias;Agronomia;Agricultura, Inteligência Artificial, Multidisciplinar, Ciência da Computação;Web of Science;12,4;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ALTERNATIVES&btnG=
AMERICAN JOURNAL OF EDUCATION;0195-6744;http://www.journals.uchicago.edu/aje;Aims and Scope: The American Journal of Education seeks to bridge and integrate the intellectual, methodological, and substantive diversity of educational scholarship;Aims and Scope: The American Journal of Education seeks to bridge and integrate the intellectual, methodological, and substantive diversity of educational scholarship;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=AMERICAN%20JOURNAL%20OF%20EDUCATION&btnG=
AMERICAN JOURNAL OF INFECTION CONTROL;0196-6553;https://www.journals.elsevier.com/american-journal-of-infection-control;Aims and Scope: The American Journal of Infection Control is a peer-reviewed scientific journal published by Elsevier on behalf of the Association for Professionals in;Aims and Scope: The American Journal of Infection Control is a peer-reviewed scientific journal published by Elsevier on behalf of the Association for Professionals in;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=AMERICAN%20JOURNAL%20OF%20INFECTION%20CONTROL&btnG=
AMERICAN JOURNAL OF OPHTHALMOLOGY;0002-9394;https://www.sciencedirect.com/journal/american-journal-of-ophthalmology;Aims and Scope: American Journal of Ophthalmology is a monthly peer-reviewed medical journal covering ophthalmology. It was established in 1884 and is published by Elsevier;Aims and Scope: American Journal of Ophthalmology is a monthly peer-reviewed medical journal covering ophthalmology. It was established in 1884 and is published by Elsevier;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;0,6;Q4;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=AMERICAN%20JOURNAL%20OF%20OPHTHALMOLOGY&btnG=
AMERICAN JOURNAL OF SEXUALITY EDUCATION;1554-6128;https://www.tandfonline.com/toc/wajs20/current;Aims and Scope: The American Journal of Sexuality Education is a quarterly peer-reviewed academic journal established in 2005 and published by Routledge. It covers research;Aims and Scope: The American Journal of Sexuality Education is a quarterly peer-reviewed academic journal established in 2005 and published by Routledge. It covers research;Ciências Agrárias;Agronomia;Agricultura, Multidisciplinar;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=AMERICAN%20JOURNAL%20OF%20SEXUALITY%20EDUCATION&btnG=
AMERICAN JOURNALISM;0882-1127;https://www.tandfonline.com/toc/uamj20/current;Aims and Scope: of journalism American Journalism Review Columbia Journalism Review Health News Review Ryerson Review of Journalism Digital Journalism Journalism Journalism;Aims and Scope: of journalism American Journalism Review Columbia Journalism Review Health News Review Ryerson Review of Journalism Digital Journalism Journalism Journalism;Ciências Agrárias;Agronomia;Agronomia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=AMERICAN%20JOURNALISM&btnG=
ANNALS OF CORPORATE GOVERNANCE;2381-6732;http://www.nowpublishers.com/ACG;Aims and Scope: Published by Emerald (MCB UP). Focuses on scholarly research in the field of Annals of Corporate Governance.;Aims and Scope: Published by Emerald (MCB UP). Focuses on scholarly research in the field of Annals of Corporate Governance.;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ANNALS%20OF%20CORPORATE%20GOVERNANCE&btnG=
ANNALS OF GASTROENTEROLOGY;1108-7471;http://annalsgastro.gr;Aims and Scope: Published by Hellenic Society of Gastroenterology. Focuses on academic publications in Annals of Gastroenterology.;Aims and Scope: Published by Hellenic Society of Gastroenterology. Focuses on academic publications in Annals of Gastroenterology.;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ANNALS%20OF%20GASTROENTEROLOGY&btnG=
ANNALS OF PHYSICAL AND REHABILITATION MEDICINE;1877-0657;https://www.journals.elsevier.com/annals-of-physical-and-rehabilitation-medicine;Aims and Scope: Annals of Physical and Rehabilitation Medicine is a bimonthly, peer-reviewed medical journal covering physical medicine and rehabilitation. Published by;Aims and Scope: Annals of Physical and Rehabilitation Medicine is a bimonthly, peer-reviewed medical journal covering physical medicine and rehabilitation. Published by;Ciências Agrárias;Agronomia;Agricultura, Laticínios e Zootecnia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ANNALS%20OF%20PHYSICAL%20AND%20REHABILITATION%20MEDICINE&btnG=
ANNALS OF VASCULAR SURGERY;0890-5096;https://www.journals.elsevier.com/annals-of-vascular-surgery;Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Annals of Vascular Surgery.;Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Annals of Vascular Surgery.;Ciências Agrárias;Agronomia;Agricultura, Laticínios e Zootecnia;Web of Science;1,7;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ANNALS%20OF%20VASCULAR%20SURGERY&btnG=
ANNUAL PLANT REVIEWS ONLINE;2639-3832;https://onlinelibrary.wiley.com/doi/book/10.1002/9781119312994;Aims and Scope: Annual Review of Plant Biology is a peer-reviewed scientific journal published by Annual Reviews. It was first published in 1950 as the Annual Review;Aims and Scope: Annual Review of Plant Biology is a peer-reviewed scientific journal published by Annual Reviews. It was first published in 1950 as the Annual Review;Ciências Agrárias;Agronomia;Agricultura, Laticínios e Zootecnia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ANNUAL%20PLANT%20REVIEWS%20ONLINE&btnG=
ANTHROPOLOGICAL NOTEBOOKS;1408-032X;http://www.drustvo-antropologov.si/anthropological_notebooks1.html;;;Ciências Agrárias;Agronomia;Agricultura, Laticínios e Zootecnia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ANTHROPOLOGICAL%20NOTEBOOKS&btnG=
ANTHROPOLOGY & MEDICINE;1364-8470;https://www.tandfonline.com/toc/canm20/current;Aims and Scope: the terms &quot,anthropology of medicine&quot,, &quot,anthropology of health&quot, and &quot,anthropology of illness&quot, have also been used, and &quot,medical anthropology&quot,, was also;Aims and Scope: the terms &quot,anthropology of medicine&quot,, &quot,anthropology of health&quot, and &quot,anthropology of illness&quot, have also been used, and &quot,medical anthropology&quot,, was also;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ANTHROPOLOGY%20%26%20MEDICINE&btnG=
ANTI-CANCER AGENTS IN MEDICINAL CHEMISTRY;1871-5206;http://benthamscience.com/journal/index.php?journalid=acamc;Aims and Scope: Anti-Cancer Agents in Medicinal Chemistry is a peer-reviewed academic journal covering the disciplines of medicinal chemistry and drug design relating;Aims and Scope: Anti-Cancer Agents in Medicinal Chemistry is a peer-reviewed academic journal covering the disciplines of medicinal chemistry and drug design relating;Ciências Agrárias;Agronomia;Agronomia, Ciências Vegetais;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ANTI-CANCER%20AGENTS%20IN%20MEDICINAL%20CHEMISTRY&btnG=
APPLIED MOBILITIES;2380-0127;https://www.tandfonline.com/toc/rapm20/current;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Applied Mobilities.;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Applied Mobilities.;Ciências Agrárias;Agronomia;Agronomia;Web of Science;1,9;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=APPLIED%20MOBILITIES&btnG=
APPLIED NUMERICAL MATHEMATICS;0168-9274;https://www.journals.elsevier.com/applied-numerical-mathematics;Aims and Scope: asymptotic methods, variational methods, and numerical analysis), and applied probability. These areas of mathematics related directly to the development of;Aims and Scope: asymptotic methods, variational methods, and numerical analysis), and applied probability. These areas of mathematics related directly to the development of;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=APPLIED%20NUMERICAL%20MATHEMATICS&btnG=
ARAB WORLD ENGLISH JOURNAL;2229-9327;http://awej.org/;Aims and Scope: Sabah. (2015). Is Standard Arabic Dying?. Arab World English Journal. 6. 54-65. 10.24093/awej/vol6no2.4. &quot,Arab Youth Survey 2017&quot, (PDF). Archived from the;Aims and Scope: Sabah. (2015). Is Standard Arabic Dying?. Arab World English Journal. 6. 54-65. 10.24093/awej/vol6no2.4. &quot,Arab Youth Survey 2017&quot, (PDF). Archived from the;Ciências Agrárias;Agronomia;Agricultura, Multidisciplinar, Agronomia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ARAB%20WORLD%20ENGLISH%20JOURNAL&btnG=
ARCHITECTURAL ENGINEERING AND DESIGN MANAGEMENT;1745-2007;https://www.tandfonline.com/toc/taem20/current;Aims and Scope: Architectural engineering or architecture engineering, also known as building engineering, is a discipline that deals with the engineering and construction;Aims and Scope: Architectural engineering or architecture engineering, also known as building engineering, is a discipline that deals with the engineering and construction;Ciências Agrárias;Agronomia;Agricultura, Multidisciplinar;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ARCHITECTURAL%20ENGINEERING%20AND%20DESIGN%20MANAGEMENT&btnG=
ASCE-ASME JOURNAL OF RISK AND UNCERTAINTY IN ENGINEERING SYSTEMS PART A-CIVIL ENGINEERING;2376-7642;http://ascelibrary.org/journal/ajrua6;Aims and Scope: ASCE-ASME Journal of Risk and Uncertainty in Engineering Systems is a peer-reviewed scientific journal established in 2014 by the American Society of;Aims and Scope: ASCE-ASME Journal of Risk and Uncertainty in Engineering Systems is a peer-reviewed scientific journal established in 2014 by the American Society of;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos;Web of Science;14,1;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ASCE-ASME%20JOURNAL%20OF%20RISK%20AND%20UNCERTAINTY%20IN%20ENGINEERING%20SYSTEMS%20PART%20A-CIVIL%20ENGINEERING&btnG=
ASIAN POPULATION STUDIES;1744-1730;https://www.tandfonline.com/toc/raps20/current;Aims and Scope: Retrieved on 2012-04-19. &#039,Community&#039, Recap: Asian Population Studies. Hollywood.com (2011-01-21). Retrieved on 2012-04-19. &quot,Asian Population Studies&quot, at IMDb;Aims and Scope: Retrieved on 2012-04-19. &#039,Community&#039, Recap: Asian Population Studies. Hollywood.com (2011-01-21). Retrieved on 2012-04-19. &quot,Asian Population Studies&quot, at IMDb;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos, Nutrição e Dietética;Web of Science;8,8;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ASIAN%20POPULATION%20STUDIES&btnG=
ASIAN SURVEY;0004-4687;http://as.ucpress.edu/;Aims and Scope: Asian Survey: A Bimonthly Review of Contemporary Asian Affairs is a bimonthly academic journal of Asian studies published by the University of California;Aims and Scope: Asian Survey: A Bimonthly Review of Contemporary Asian Affairs is a bimonthly academic journal of Asian studies published by the University of California;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ASIAN%20SURVEY&btnG=
ASIAN-EUROPEAN JOURNAL OF MATHEMATICS;1793-5571;http://www.worldscientific.com/worldscinet/aejm;Aims and Scope: Arnold Mathematical Journal Ars Combinatoria Ars Mathematica Contemporanea Asia-Pacific Journal of Operational Research Asian Journal of Mathematics AStA;Aims and Scope: Arnold Mathematical Journal Ars Combinatoria Ars Mathematica Contemporanea Asia-Pacific Journal of Operational Research Asian Journal of Mathematics AStA;Ciências Agrárias;Agronomia;Agronomia, Ciências Vegetais;Web of Science;5,6;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ASIAN-EUROPEAN%20JOURNAL%20OF%20MATHEMATICS&btnG=
ASIAN-PACIFIC ECONOMIC LITERATURE;0818-9935;https://onlinelibrary.wiley.com/journal/14678411;Aims and Scope: The Asia-Pacific Economic History Review is a peer-reviewed academic journal with social-scientific analyses, principally of Pacific-Asian economic history;Aims and Scope: The Asia-Pacific Economic History Review is a peer-reviewed academic journal with social-scientific analyses, principally of Pacific-Asian economic history;Ciências Agrárias;Agronomia;Agricultura, Multidisciplinar;Web of Science;1,9;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ASIAN-PACIFIC%20ECONOMIC%20LITERATURE&btnG=
AUSTRALASIAN JOURNAL OF INFORMATION SYSTEMS;1449-8618;http://dl.acs.org.au/index.php/ajis/index;Aims and Scope: Published by Australasian Association for Information Systems. Focuses on scholarly research in the field of Australasian Journal of Information Systems.;Aims and Scope: Published by Australasian Association for Information Systems. Focuses on scholarly research in the field of Australasian Journal of Information Systems.;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=AUSTRALASIAN%20JOURNAL%20OF%20INFORMATION%20SYSTEMS&btnG=
AUSTRALIAN AND NEW ZEALAND JOURNAL OF FAMILY THERAPY;0814-723X;https://onlinelibrary.wiley.com/journal/14678438;Aims and Scope: The Australian and New Zealand Journal of Family Therapy is a quarterly peer-reviewed academic journal published by Wiley-Blackwell on behalf of the Australian;Aims and Scope: The Australian and New Zealand Journal of Family Therapy is a quarterly peer-reviewed academic journal published by Wiley-Blackwell on behalf of the Australian;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos;Web of Science;1,7;Q3;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=AUSTRALIAN%20AND%20NEW%20ZEALAND%20JOURNAL%20OF%20FAMILY%20THERAPY&btnG=
AUSTRALIAN ECONOMIC REVIEW;0004-9018;https://onlinelibrary.wiley.com/journal/14678462;Aims and Scope: history.&quot, Australian Economic Review 20.1 (1987): 20-30. Schedvin, Carl Boris. &quot,Environment, economy and Australian biology, 1890–1939.&quot, Australian Historical;Aims and Scope: history.&quot, Australian Economic Review 20.1 (1987): 20-30. Schedvin, Carl Boris. &quot,Environment, economy and Australian biology, 1890–1939.&quot, Australian Historical;Ciências Agrárias;Agronomia;Agricultura, Laticínios e Zootecnia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=AUSTRALIAN%20ECONOMIC%20REVIEW&btnG=
AUSTRALIAN ENDODONTIC JOURNAL;1329-1947;https://onlinelibrary.wiley.com/journal/17474477;Aims and Scope: Endodontics (from Greek endo- &#039,inside&#039, and odont- &#039,tooth&#039,) is the dental specialty concerned with the study and treatment of the dental pulp. Endodontics;Aims and Scope: Endodontics (from Greek endo- &#039,inside&#039, and odont- &#039,tooth&#039,) is the dental specialty concerned with the study and treatment of the dental pulp. Endodontics;Ciências Agrárias;Agronomia;Agronomia, Ciências Vegetais;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=AUSTRALIAN%20ENDODONTIC%20JOURNAL&btnG=
AUSTRALIAN JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS;1467-8489;https://onlinelibrary.wiley.com/journal/14678489;Aims and Scope: The Australian Bureau of Agricultural and Resource Economics and Sciences (ABARES) is a federal research branch of the Australian Government Department;Aims and Scope: The Australian Bureau of Agricultural and Resource Economics and Sciences (ABARES) is a federal research branch of the Australian Government Department;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura, Silvicultura, Geografia, Física;Web of Science;2,3;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=AUSTRALIAN%20JOURNAL%20OF%20AGRICULTURAL%20AND%20RESOURCE%20ECONOMICS&btnG=
B E JOURNAL OF MACROECONOMICS;2194-6116;;Aims and Scope: Macroeconomics is primarily focused on questions that help to understand aggregate variables in relation to long-run economic growth. Macroeconomics and;Aims and Scope: Macroeconomics is primarily focused on questions that help to understand aggregate variables in relation to long-run economic growth. Macroeconomics and;Ciências Agrárias;Recursos Pesqueiros e Engenharia de Pesca;Pesca, Ciências Veterinárias;Web of Science;1,2;Q3;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=B%20E%20JOURNAL%20OF%20MACROECONOMICS&btnG=
BIBLE TRANSLATOR;2051-6770;https://us.sagepub.com/en-us/nam/journal/bible-translator;Aims and Scope: Parallel Bible, with interlinear morphemic glossing). In 1999, Wycliffe Bible Translators announced Vision 2025 — a project that intends to commence Bible translation;Aims and Scope: Parallel Bible, with interlinear morphemic glossing). In 1999, Wycliffe Bible Translators announced Vision 2025 — a project that intends to commence Bible translation;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BIBLE%20TRANSLATOR&btnG=
BIOCHEMISTRY;0006-2960;http://pubs.acs.org/journal/bichaw;Aims and Scope: Biochemistry, or biological chemistry (distinct from chemical biology), is the study of chemical processes within and relating to living organisms. A sub-discipline;Aims and Scope: Biochemistry, or biological chemistry (distinct from chemical biology), is the study of chemical processes within and relating to living organisms. A sub-discipline;Ciências Agrárias;Agronomia;Agronomia, Ciência e Tecnologia de Alimentos;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BIOCHEMISTRY&btnG=
BIOFOULING;0892-7014;https://www.tandfonline.com/toc/gbif20/current;Aims and Scope: biocide paints, or non-toxic paints) to remove or prevent biofouling. The buildup of biofouling on marine vessels poses a significant problem. In some instances;Aims and Scope: biocide paints, or non-toxic paints) to remove or prevent biofouling. The buildup of biofouling on marine vessels poses a significant problem. In some instances;Ciências Agrárias;Engenharia Agrícola;Engenharia Agrícola;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BIOFOULING&btnG=
