titulo_revista,aims_scope,indexador,jif,sjr,grande_area,S_text,S_index,fator_impacto,Score_final
Aufklarung-Revista De Filosofia,"Missão: é promover um debate científico qualificado sobre temas acadêmicos relevantes, embasados em pesquisas empíricas e/ou análises teóricas. A Política & Trabalho se destina a promover o intercâmbio de conhecimento entre brasileiros e estrangeiros, sejam eles pesquisadores ou público interessado. Acessar revista Edição Atual Revista Espaço do Currículo A Revista Espaço do Currículo (REC) é um periódico. O Portal de Periódicos da Universidade Federal da Paraíba (UFPB) tem como objetivo ampliar a visibilidade e a disseminação da produção científica da instituição por meio da publicação de revistas eletrônicas científicas elaboradas e gerenciadas por pesquisadores vinculados à UFPB. O portal promove o acesso aberto à informação científica e tecnológica, contribuindo para a difusão do conhecimento e para o fortalecimento da comunicação científica. Além disso, oferece suporte técnico e editorial aos editores de periódicos da instituição, em consonância com as diretrizes da Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES) e do Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq) para a gestão e qualificação de periódicos científicos.",Web of Science - ESCI,4.2,,Biological Sciences,0.49518117,0.5,4.2,0.4961449563503265
Teoria E Pratica Em Administracao-Tpa,"Missão: é promover um debate científico qualificado sobre temas acadêmicos relevantes, embasados em pesquisas empíricas e/ou análises teóricas. A Política & Trabalho se destina a promover o intercâmbio de conhecimento entre brasileiros e estrangeiros, sejam eles pesquisadores ou público interessado. Acessar revista Edição Atual Revista Espaço do Currículo A Revista Espaço do Currículo (REC) é um periódico. O Portal de Periódicos da Universidade Federal da Paraíba (UFPB) tem como objetivo ampliar a visibilidade e a disseminação da produção científica da instituição por meio da publicação de revistas eletrônicas científicas elaboradas e gerenciadas por pesquisadores vinculados à UFPB. O portal promove o acesso aberto à informação científica e tecnológica, contribuindo para a difusão do conhecimento e para o fortalecimento da comunicação científica. Além disso, oferece suporte técnico e editorial aos editores de periódicos da instituição, em consonância com as diretrizes da Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES) e do Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq) para a gestão e qualificação de periódicos científicos.",Web of Science - ESCI,,,Others / Unclassified,0.49518117,0.5,0.0,0.4961449563503265
Revista Evidenciacao Contabil & Financas,"Missão: é promover um debate científico qualificado sobre temas acadêmicos relevantes, embasados em pesquisas empíricas e/ou análises teóricas. A Política & Trabalho se destina a promover o intercâmbio de conhecimento entre brasileiros e estrangeiros, sejam eles pesquisadores ou público interessado. Acessar revista Edição Atual Revista Espaço do Currículo A Revista Espaço do Currículo (REC) é um periódico. O Portal de Periódicos da Universidade Federal da Paraíba (UFPB) tem como objetivo ampliar a visibilidade e a disseminação da produção científica da instituição por meio da publicação de revistas eletrônicas científicas elaboradas e gerenciadas por pesquisadores vinculados à UFPB. O portal promove o acesso aberto à informação científica e tecnológica, contribuindo para a difusão do conhecimento e para o fortalecimento da comunicação científica. Além disso, oferece suporte técnico e editorial aos editores de periódicos da instituição, em consonância com as diretrizes da Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES) e do Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq) para a gestão e qualificação de periódicos científicos.",Web of Science - ESCI,,,Others / Unclassified,0.49518117,0.5,0.0,0.4961449563503265
REVISTA ELETRÔNICA DE EDUCAÇÃO,"A Revista Eletrônica de Educação, é uma iniciativa do Programa de Pós-Graduação em Educação da Universidade Federal de São Carlos. O seu principal objetivo é publicar artigos, ensaios, e dossiês sobre temas que contribuam para o recrudescimento do debate educacional, bem como para a divulgação do conhecimento produzido na área. É dirigida a pesquisadores, profissionais e estudantes da Educação. A revista é multilíngue, porém devido às configurações do site, resumo e palavras-chave aparecem apenas nos idiomas Português, Inglês e Espanhol. Os textos em idiomas que não o Português ou o Espanhol poderão ser traduzidos e apresentados na mesma edição.",Educ@,,,Humanities,0.5027158,0.4,0.0,0.48217265486717226
REVISTA BRASILEIRA DE POLÍTICA E ADMINISTRAÇÃO DA EDUCAÇÃO,"A Revista Brasileira de Política e Administração da Educação (RBPAE) é uma publicação quadrimestral da Associação Nacional de Política e Administração da Educação (ANPAE), que tem por objetivo difundir estudos e experiências educacionais e promover o debate e a reflexão em torno de questões teóricas e práticas no campo da gestão da educação e seus processos de planejamento e de formulação e avaliação de políticas educacionais no âmbito dos sistemas de ensino, escolas, universidades e outros espaços públicos de educação e formação cidadã.",Educ@,,,Humanities,0.5009174,0.4,0.0,0.4807339179515839
LINHAS CRÍTICAS,"Publicar, de forma gratuita e contínua, manuscritos relevantes de pesquisadores da área educacional, que apresentem consistência, rigor e originalidade, criando valor agregado para as publicações através da divulgação em plataformas tradicionais e alternativas, contribuindo assim para o aumento do número de leituras e citações, e também para a democratização da ciência.",Educ@,,,Humanities,0.49972466,0.4,0.0,0.47977973699569704
REVISTA DE EDUCAÇÃO PUC-CAMPINAS,"Revista de Educação PUC-Campinas é uma publicação quadrimestral, editada pelo Programa de Pós-Graduação em Educação, Centro de Ciências Humanas e Sociais Aplicadas da Pontifícia Universidade Católica de Campinas. Destina-se à publicação de estudos e pesquisas científicas, de caráter teórico ou empírico, na área da Educação, visando à difusão do conhecimento e fomentando o debate acadêmico sobre temas de relevância no cenário educacional, nacional e internacional, que auxiliem a compreensão do fenômeno educativo na atualidade.",Educ@,,,Humanities,0.4989993,0.4,0.0,0.4791994559764862
Lc. Revue De Recherches Sur Le Corbusier,"La revista adopta un modelo de acceso abierto diamante, lo que significa que no se cobra por publicar ni por acceder a su contenido, y tiene una financiación institucional. LC desea convertirse en una nueva revista cuyo epicentro será Le Corbusier y la pluralidad de su obra. Como L’Esprit Nouveau, LC desea ser una Revista mundial dedicada a la estética de nuestro tiempo, en todas sus manifestaciones. Este es nuestro programa: partir de Le Corbusier para describir generosas circunvoluciones para aprehender la estética y las artes de nuestro tiempo. Ver más Ver menos",Web of Science - ESCI,,,Others / Unclassified,0.46868807,0.5,0.0,0.47495046854019163
LEITURA: TEORIA E PRÁTICA,"A revista Leitura: Teoria e Prática é um periódico impresso semestral que tem hoje mais de 30 anos de tradição. Única publicação brasileira específica da área da leitura, atualmente é editada e impressa pela Associação de Leitura do Brasil (ALB), que a distribui para seus associados e a disponibiliza para venda em sua Livraria Virtual. Compõe-se de textos inéditos, em português ou espanhol, escritos por pesquisadores, professores de diferentes universidades brasileiras e estrangeiras, e profissionais da educação básica. Apresenta qualidade acadêmica relevante, estando classificada no Qualis Periódicos (CAPES) como A2 em Letras/Linguística, A2 em História, A2 em Interdisciplinar e B1 em Educação; integra o processo de formação inicial e continuada de professores; e tem subsidiado a produção",Educ@,,,Humanities,0.49012727,0.4,0.0,0.47210182428359987
Andean Journal Of Education,"La Revista Andina de Educación se constituye en un espacio de difusión y debate académico con especial énfasis en el contexto latinoamericano, pero no limitado al mismo. La revista trabaja sobre análisis históricos, problemas contemporáneos y desarrollos futuros relacionados con la educación en sus diferentes entornos y niveles.Es una revista electrónica, semestral, de acceso libre, revisada por pares, con metodología doble ciego, destinada a ser un vehículo de presentación académica y diseminación de contribuciones teóricas y de investigación, abordando significativamente implementaciones innovadoras en los diversos escenarios educativos.",Web of Science - ESCI,,,Biological Sciences,0.4650134,0.5,0.0,0.472010737657547
Veredas-Revista Da Associacao Internacional De Lusitanistas,Veredas é uma revista semestral da Associação Internacional de Lusitanistas. Trata-se de uma publicação científica que tem como objetivo a divulgação de pesquisas sobre a literatura e a cultura dos países de língua portuguesa.,Web of Science - ESCI,,,Others / Unclassified,0.4626687,0.5,0.0,0.47013494968414304
EDUCAÇÃO,"A Revista Educação foi fundada em 1978 e, desde 2016, mantém-se exclusivamente on-line. É uma revista acadêmica da Escola de Humanidades da PUCRS, de publicação científica de excelência, voltada para a área da Educação e editada sob a responsabilidade do PPGEDU. Tem como o seu principal propósito divulgar a produção científica original de pesquisadores/as brasileiros/as e estrangeiros/as, propiciando um diálogo entre os diferentes campos da educação discutidos mundialmente.",Educ@,,,Humanities,0.48380482,0.4,0.0,0.4670438635349274
REVISTA INTERNACIONAL DE EDUCAÇÃO SUPERIOR,"A Revista Internacional de Educação Superior, publicação do Grupo de Pesquisa GIEPES da Faculdade de Educação da Universidade Estadual de Campinas (Campinas, SP) em parceria com a Rede Ibero-americana de Estudos e Pesquisas em Políticas e Processos de Educação Superior - RIEPPES - Universidade do Oeste de Santa Catarinense, tem como missão socializar a produção de estudos e pesquisas científicas, de caráter teórico ou empírico, na área da educação superior. É uma publicação eletrônica que se dedica à publicação de artigos da comunidade científica nacional e internacional que investiga questões de interesse do campo da educação superior. Visa contribuir na formação do pesquisador da área de Educação Superior por meio da divulgação e disseminação de pesquisas e estudos realizados por educado",Educ@,,,Humanities,0.479676,0.4,0.0,0.46374081254005434
REVISTA BRASILEIRA DE EDUCAÇÃO FÍSICA E ESPORTE,"A Revista Brasileira de Educação Física e Esporte é uma publicação da Escola de Educação Física e Esporte da Universidade de São Paulo, e tem por objetivo publicar pesquisas que contribuam para o avanço do conhecimento acerca do movimento humano relacionado à Educação Física, Esporte e áreas afins.",Educ@,,,Humanities,0.47872588,0.4,0.0,0.46298070430755617
REVISTA EXITUS,"A Revista Exitus é publicada trimestralmente pela Universidade Federal do Oeste do Pará/UFOPA, sendo que o lançamento de cada número ocorre respectivamente nos meses de Janeiro, Abril, Julho e Outubro de cada ano. Tem como metas incentivar o debate e propiciar a divulgação da produção científica, como veículo de diálogo permanente entre os profissionais da Educação. Assim, seu projeto editorial visa contribuir para a difusão do conhecimento na área da educação, por meio de temáticas regionais, nacionais e internacionais. Publica trabalhos originais, referentes à área da Educação sob diferentes campos da pesquisa como: Estudos em Formação Docente, Práticas Pedagógicas, Políticas e Gestão Educacional, dentre outras temáticas da Educação. São aceitos trabalhos em português, inglês e espanhol,",Educ@,,,Humanities,0.47781697,0.4,0.0,0.4622535872459412
REVISTA TEIAS,"Teias tem como escopo a publicação de trabalhos científicos/acadêmicos originais, o incentivo à pesquisa e ao debate da área da educação, centrados nas relações com a sociedade. Publica artigos inéditos de autores/as brasileiros/as ou estrangeiros/as. Os trabalhos encaminhados para publicação em meios eletrônicos  inéditos  não podem ser apresentados simultaneamente para avaliação em outro periódico. Organiza-se trimestralmente por seção temática, em que se aceitam apenas trabalhos alinhados ao campo de pertinência do tema proposto; além dessa, recebe artigos para as demais seções próprias da Revista em demanda contínua.",Educ@,,,Humanities,0.47643375,0.4,0.0,0.46114699721336366
REVISTA DA FACULDADE DE EDUCAÇÃO,"Publicar artigos e relatos de pesquisa inéditos na área de educação e afins, bem como resenhas de livros, documentos especiais e traduções.",Educ@,,,Humanities,0.47248128,0.4,0.0,0.45798503041267397
REGAE: REVISTA DE GESTÃO E AVALIAÇÃO EDUCACIONAL,"A Regae: Revista de Gestão e Avaliação Educacional é publicada no Brasil, desde 2009, no formato de publicação contínua. Tem como cobertura temática as áreas de administração escolar, gestão escolar, políticas educacionais, avaliação educacional e avaliação institucional. A sua missão é constituir-se num veículo de divulgação de estudos do campo da educação. Tem como público alvo professores, estudantes, pesquisadores e dirigentes de instituições escolares.

© 2026 Autores mantém os direitos autorais e concedem ao periódico o direito de primeira publicação, com o trabalho simultaneamente licenciado sob",Educ@,,,Humanities,0.47118753,0.4,0.0,0.4569500255584717
REVISTA EDUCAÇÃO EM QUESTÃO,"A Revista Educação em Questão é um periódico do Centro de Educação e do Programa de Pós-Graduação em Educação da Universidade Federal do Rio Grande do Norte (UFRN). É um periódico (on-line), de acesso aberto e fluxo contínuo de publicação, em quatro edições anuais com artigos originais e inéditos na área de Educação (área de conhecimento delimitada pela Coordenação de Aperfeiçoamento de Pessoal de Nível Superior  CAPES), resultantes de pesquisas científicas, além de resenhas de livros.",Educ@,,,Humanities,0.46373457,0.4,0.0,0.4509876537322998
