Título da Revista;ISSN;Homepage;Aims and Scope;Aims and Scope (translate);Grande Area;Area do Conhecimento;Subárea do Conhecimento;Indexador;JIF;Quartil JCR;SJR;SJR Best Quartile;H index;Índice h5
BRILLS ANNUAL OF AFROASIATIC LANGUAGES AND LINGUISTICS;1876-6633;http://brill.publisher.ingentaconnect.com/content/brill/baall;;;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos;Web of Science;7,6;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRILLS%20ANNUAL%20OF%20AFROASIATIC%20LANGUAGES%20AND%20LINGUISTICS&btnG=
BRITISH ACCOUNTING REVIEW;0890-8389;https://www.journals.elsevier.com/the-british-accounting-review;;;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos, Nutrição e Dietética;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20ACCOUNTING%20REVIEW&btnG=
BRITISH COLUMBIA MEDICAL JOURNAL;0007-0556;http://www.bcmj.org/;;;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos;Web of Science;4,9;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20COLUMBIA%20MEDICAL%20JOURNAL&btnG=
BRITISH EDUCATIONAL RESEARCH JOURNAL;0141-1926;https://onlinelibrary.wiley.com/journal/14693518;;;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos;Web of Science;8;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20EDUCATIONAL%20RESEARCH%20JOURNAL&btnG=
BRITISH FOOD JOURNAL;0007-070X;http://www.emeraldinsight.com/0007-070X.htm;;;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos, Nutrição e Dietética;Web of Science;6;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20FOOD%20JOURNAL&btnG=
BRITISH JOURNAL FOR THE HISTORY OF MATHEMATICS;2637-5451;https://www.tandfonline.com/toc/tbsh21/current;;;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20JOURNAL%20FOR%20THE%20HISTORY%20OF%20MATHEMATICS&btnG=
BRITISH JOURNAL FOR THE HISTORY OF PHILOSOPHY;0960-8788;http://www.tandfonline.com/rbjh;;;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20JOURNAL%20FOR%20THE%20HISTORY%20OF%20PHILOSOPHY&btnG=
BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE;0007-0882;http://bjps.oxfordjournals.org/;;;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos;Web of Science;3,8;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20JOURNAL%20FOR%20THE%20PHILOSOPHY%20OF%20SCIENCE&btnG=
BRITISH JOURNAL OF AESTHETICS;0007-0904;http://bjaesthetics.oxfordjournals.org/;;;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos;Web of Science;6,2;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20JOURNAL%20OF%20AESTHETICS&btnG=
BRITISH JOURNAL OF EDUCATIONAL STUDIES;0007-1005;http://www.tandfonline.com/action/aboutThisJournal?journalCode=rbje20;;;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;3,7;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20JOURNAL%20OF%20EDUCATIONAL%20STUDIES&btnG=
BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY;0007-1013;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8535;;;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;4,4;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20JOURNAL%20OF%20EDUCATIONAL%20TECHNOLOGY&btnG=
BRITISH JOURNAL OF GUIDANCE & COUNSELLING;0306-9885;https://www.tandfonline.com/toc/cbjg20/current;;;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;3,8;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20JOURNAL%20OF%20GUIDANCE%20%26%20COUNSELLING&btnG=
BRITISH JOURNAL OF HEALTH PSYCHOLOGY;1359-107X;https://bpspsychub.onlinelibrary.wiley.com/journal/20448287;;;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;3,2;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20JOURNAL%20OF%20HEALTH%20PSYCHOLOGY&btnG=
BRITISH JOURNAL OF HOSPITAL MEDICINE;1750-8460;;;;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20JOURNAL%20OF%20HOSPITAL%20MEDICINE&btnG=
BRITISH JOURNAL OF INDUSTRIAL RELATIONS;0007-1080;https://onlinelibrary.wiley.com/journal/14678543;;;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20JOURNAL%20OF%20INDUSTRIAL%20RELATIONS&btnG=
BRITISH JOURNAL OF LEARNING DISABILITIES;1354-4187;https://onlinelibrary.wiley.com/journal/14683156;;;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;1,4;Q3;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20JOURNAL%20OF%20LEARNING%20DISABILITIES&btnG=
BRITISH JOURNAL OF MANAGEMENT;1045-3172;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8551;;;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20JOURNAL%20OF%20MANAGEMENT&btnG=
BRITISH JOURNAL OF PHARMACOLOGY;0007-1188;https://bpspubs.onlinelibrary.wiley.com/journal/14765381;;;Ciências Agrárias;Agronomia;Agricultura, Laticínios e Zootecnia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20JOURNAL%20OF%20PHARMACOLOGY&btnG=
BULLETIN DES SCIENCES MATHEMATIQUES;0007-4497;https://www.journals.elsevier.com/bulletin-des-sciences-mathematiques;;;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BULLETIN%20DES%20SCIENCES%20MATHEMATIQUES&btnG=
