"Journal title","ISSN","Categorias","Indexador","Aims and Scope","Aims and Scope (translate)"
"Abakos","2316-9451","Mathematics, Interdisciplinary Applications","Web of Science - ESCI","É uma publicação de responsabilidade do Instituto de Ciências Exatas e Informática (ICEI) da Pontifícia Universidade Católica de Minas Gerais (PUC Minas), com periodicidade semestral, na área de ciências exatas e informática","It is a publication under the responsibility of the Institute of Exact Sciences and Informatics (ICEI) of the Pontifical Catholic University of Minas Gerais (PUC Minas), with a biannual periodicity, in the area of ​​exact sciences and information technology."
"Abanico Veterinario","2007-4204","Veterinary Sciences","Web of Science - ESCI","Aims and Scope: Published by Abanico Veterinario. Focuses on academic publications in Abanico Veterinario.","Aims and Scope: Published by Abanico Veterinario. Focuses on academic publications in Abanico Veterinario."
"Abcd-Arquivos Brasileiros De Cirurgia Digestiva-Brazilian Archives Of Digestive Surgery","0102-6720","Gastroenterology & Hepatology","Web of Science - ESCI","To publish articles of clinical and experimental studies that foster the advancement of research, teaching and assistance in surgical, clinical, and endoscopic gastroenterology, and related areas.","To publish articles of clinical and experimental studies that foster the advancement of research, teaching and assistance in surgical, clinical, and endoscopic gastroenterology, and related areas."
"Abdominal Radiology","2366-004X","Radiology, Nuclear Medicine & Medical Imaging","Web of Science - SCIE","Abdominal Radiology seeks to meet the professional needs of the abdominal radiologist by publishing clinically pertinent original, review and practice related ...","Abdominal Radiology seeks to meet the professional needs of the abdominal radiologist by publishing clinically pertinent original, review and practice related ..."
"Abe Journal","2275-6639","Architecture","Web of Science - ESCI","Subjects: Architecture. Keywords: history of art, heritage, architecture","Subjects: Architecture. Keywords: history of art, heritage, architecture"
"Abhandlungen Aus Dem Mathematischen Seminar Der Universitat Hamburg","0025-5858","Mathematics","Web of Science - SCIE","The first issue of the &quot;Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg&quot; was published in the year 1921. This international mathematical ...","The first issue of the 'Abhandlungen aus dem Mathematiken Seminar der Universität Hamburg' was published in the year 1921. This international mathematical ..."
"Ab Imperio-Studies Of New Imperial History And Nationalism In The Post-Soviet Space","2166-4072","History","Web of Science - AHCI","Aims and Scope: Ab Imperio: Studies of New Imperial History and Nationalism in the Post-Soviet Space – international scientific referable journal, which developing direction","Aims and Scope: Ab Imperio: Studies of New Imperial History and Nationalism in the Post-Soviet Space – international scientific referable journal, which developing direction"
"Abiotech","2096-6326","Biotechnology & Applied Microbiology, Plant Sciences","Web of Science - ESCI","aBIOTECH is a peer-reviewed journal focusing on the advancement of agroecosystems through the application of biotechnology and genomics. Prioritizes ...","aBIOTECH is a peer-reviewed journal focusing on the advancement of agroecosystems through the application of biotechnology and genomics. Prioritizes ..."
"Aboriginal History","0314-8769","History","Web of Science - ESCI","Aims and Scope: first populated the Australian continent. This article covers the history of Aboriginal Australian and Torres Strait Islander peoples, two broadly defined","Aims and Scope: first populated the Australian continent. This article covers the history of Aboriginal Australian and Torres Strait Islander peoples, two broadly defined"
"Abriu-Estudos De Textualidade Do Brasil Galicia E Portugal","2014-8526","Humanities, Multidisciplinary","Web of Science - ESCI","Scientific journal for debating textuality in the frame of Brazilian, Galician and Portuguese studies.","Scientific journal for debating textuality in the frame of Brazilian, Galician and Portuguese studies."
"Academia-Revista Latinoamericana De Administracion","1012-8255","Business, Management","Web of Science - SSCI","Aims and Scope: Published by Emerald (MCB UP). Focuses on scholarly research in the field of Academia Revista Latinoamericana de Administración.","Aims and Scope: Published by Emerald (MCB UP). Focuses on scholarly research in the field of Academia Revista Latinoamericana de Administración."
"Academia Y Virtualidad","2011-0731","Education & Educational Research","Web of Science - ESCI","https://doi.org/10.18359/issn.2011-0731 La revista Academia y Virtualidad es una publicación científica arbitrada de acceso abierto que tiene el propósito de ser un canal de difusión del conocimiento en ciencias de la educación. Sus temáticas centrales son: desarrollos en investigación sobre educación a distancia y virtual, prácticas y experiencias relacionadas con el trabajo pedagógico y la educación superior bajo la metodología de aprendizaje a distancia, entornos virtuales, y tecnologías de la información y la comunicación (TIC). La revista acepta también trabajos relacionados con otras experiencias educativas. La revista publica artículos inéditos que responden a criterios de relevancia, originalidad y pertinencia temática, escritos en español, inglés y portugués. Está dirigida a profe","https://doi.org/10.18359/issn.2011-0731 Academia y Virtualidad magazine is an open access refereed scientific publication that has the purpose of being a channel for the dissemination of knowledge in educational sciences. Its central themes are: developments in research on distance and virtual education, practices and experiences related to pedagogical work and higher education under the distance learning methodology, virtual environments, and information and communication technologies (ICT). The magazine also accepts works related to other educational experiences. The magazine publishes unpublished articles that meet criteria of relevance, originality and thematic relevance, written in Spanish, English and Portuguese. It is addressed to teacher"
"Academic Emergency Medicine","1069-6563","Emergency Medicine","Web of Science - SCIE","Aims and Scope: Academic Emergency Medicine is a monthly peer-reviewed medical journal published by Wiley on behalf of the Society for Academic Emergency Medicine. The","Aims and Scope: Academic Emergency Medicine is a monthly peer-reviewed medical journal published by Wiley on behalf of the Society for Academic Emergency Medicine. The"
"Academic Journal Of Modern Philology","2299-7164","Language & Linguistics","Web of Science - ESCI","Subjects: Language. Linguistic theory. Comparative grammar. Keywords: comparative studies, anthropological linguistics, science of cognition, social communication, literary studies, sociolinguistics","Subjects: Language. Linguistic theory. Comparative grammar. Keywords: comparative studies, anthropological linguistics, science of cognition, social communication, literary studies, sociolinguistics"
"Academic Medicine","1040-2446","Education, Scientific Disciplines, Health Care Sciences & Services","Web of Science - SCIE","Aims and Scope: the culture of medicine.The hidden curriculum may include the use of unprofessional behaviors for efficiency or viewing the academic hierarchy as more","Aims and Scope: the culture of medicine.The hidden curriculum may include the use of unprofessional behaviors for efficiency or viewing the academic hierarchy as more"
"Academic Pathology","2374-2895","Pathology","Web of Science - ESCI","Subjects: Pathology. Keywords: academic pathology, coordinated care, pathology, patient informatics, laboratory medicine, clinical partnerships","Subjects: Pathology. Keywords: academic pathology, coordinated care, pathology, patient informatics, laboratory medicine, clinical partnerships"
"Academic Pediatrics","1876-2859","Pediatrics","Web of Science - SCIE","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Academic Pediatrics.","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Academic Pediatrics."
"Academic Psychiatry","1042-9670","Education & Educational Research, Psychiatry","Web of Science - SSCI","Uniquely positioned with its focus on education at the intersection of biomedicine and the social sciences Emphasizes original, scholarly work for training ...","Uniquely positioned with its focus on education at the intersection of biomedicine and the social sciences Emphasizes original, scholarly work for training ..."
"Academic Radiology","1076-6332","Radiology, Nuclear Medicine & Medical Imaging","Web of Science - SCIE","Aims and Scope: Published by Elsevier. Focuses on academic publications in Academic Radiology.","Aims and Scope: Published by Elsevier. Focuses on academic publications in Academic Radiology."
"Academy Of Management Annals","1941-6520","Business, Management","Web of Science - SSCI","Aims and Scope: Learning and Education Academy of Management Annals Academy of Management Discoveries Academy of Management Collections Academy of Management Insights The first","Aims and Scope: Learning and Education Academy of Management Annals Academy of Management Discoveries Academy of Management Collections Academy of Management Insights The first"
"Academy Of Management Discoveries","2168-1007","Management","Web of Science - SSCI","Aims and Scope: Academy of Management Discoveries is a quarterly peer-reviewed academic journal on poorly-understood phenomena in management. According to the Journal","Aims and Scope: Academy of Management Discoveries is a quarterly peer-reviewed academic journal on poorly-understood phenomena in management. According to the Journal"
"Academy Of Management Journal","0001-4273","Business, Management","Web of Science - SSCI","AMJ's mission is to publish empirical research that tests, extends, or builds management theory and contributes to management practice.","AMJ's mission is to publish empirical research that tests, extends, or builds management theory and contributes to management practice."
"Academy Of Management Learning & Education","1537-260X","Education & Educational Research, Management","Web of Science - SSCI","AMLE's mission is to contribute to management learning and education by publishing theory, empirical research, reviews, critiques, and resources that address the processes of management teaching and the learning that results from it.","AMLE's mission is to contribute to management learning and education by publishing theory, empirical research, reviews, critiques, and resources that address the processes of management teaching and the learning that results from it."
"Academy Of Management Perspectives","1558-9080","Business, Management","Web of Science - SSCI","AMP's mission is to inform current and future “thought leaders” who, through their leadership, teaching, consulting, and/or other professional activities have the potential to influence management practice and policy.","AMP's mission is to inform current and future “thought leaders” who, through their leadership, teaching, consulting, and/or other professional activities have the potential to influence management practice and policy."
"Academy Of Management Review","0363-7425","Business, Management","Web of Science - SSCI","AMR's mission is to publish theoretical insights that advance our understanding of management and organizations.","AMR's mission is to publish theoretical insights that advance our understanding of management and organizations."
"Academy Review","2074-5354","Business, Finance, Economics, Management","Web of Science - ESCI","Alfred Nobel University (Dnipro)","Alfred Nobel University (Dnipro)"
"Acadiensis","0044-5851","History","Web of Science - AHCI","One of Canada's leading scholarly journals, Acadiensis is devoted to the study of the history of the Atlantic region and remains the essential source for reading and research in this area.","One of Canada's leading scholarly journals, Acadiensis is devoted to the study of the history of the Atlantic region and remains the essential source for reading and research in this area."
"Acarologia","0044-586X","Entomology","Web of Science - SCIE","Subjects: Biology (General). Keywords: acari, systematics, biology, ecology, zoology","Subjects: Biology (General). Keywords: acari, systematics, biology, ecology, zoology"
"Access-Access To Science Business Innovation In The Digital Economy","2683-1007","Business, Computer Science, Interdisciplinary Applications, Economics, Management","Web of Science - ESCI","Open Access journals system - publish science journals","Open Access journals system - publish science journals"
"Access To Justice In Eastern Europe","2663-0575","Law","Web of Science - ESCI","Current AJEE New Issue Launch 2/2026 Evolving Legal Landscapes in the Age of Digitalization and Global Transition We are pleased to present the second issue of Access to Justice in Eastern Europe for 2026 (Volume 9, Issue 2). This issue exemplifies our commitment to international scholarly exchange, bringing together diverse perspectives from esteemed researchers based in Bulgaria, Jordan, Kazakhstan, the Netherlands, Saudi Arabia, Slovenia, the United Arab Emirates, Ukraine, and Vietnam. This edition explores the evolving landscape of contemporary justice through four primary lenses: the intersection of law and emerging digital technologies; the reinforcement of criminal justice, anti-corruption, and procedural safeguards; the evolution of alternative dispute resolution and mediation; and","Current AJEE New Issue Launch 2/2026 Evolving Legal Landscapes in the Age of Digitalization and Global Transition We are pleased to present the second issue of Access to Justice in Eastern Europe for 2026 (Volume 9, Issue 2). This issue exemplifies our commitment to international scholarly exchange, bringing together diverse perspectives from esteemed researchers based in Bulgaria, Jordan, Kazakhstan, the Netherlands, Saudi Arabia, Slovenia, the United Arab Emirates, Ukraine, and Vietnam. This edition explores the evolving landscape of contemporary justice through four primary lenses: the intersection of law and emerging digital technologies; the reinforcement of criminal justice, anti-corruption, and procedural safeguards; the evolution of alternative dispute resolution and mediation; and"
"Accident Analysis And Prevention","0001-4575","Ergonomics, Public, Environmental & Occupational Health, Social Sciences, Interdisciplinary, Transportation","Web of Science - SSCI","Aims and Scope: Accident Analysis &amp, Prevention is a bimonthly peer-reviewed public health journal covering accident prevention published by Elsevier on behalf of the Association","Aims and Scope: Accident Analysis &amp, Prevention is a bimonthly peer-reviewed public health journal covering accident prevention published by Elsevier on behalf of the Association"
"Acciones E Investigaciones Sociales","1132-192X","Social Sciences, Interdisciplinary","Web of Science - ESCI","La revista tiene carácter pluridisciplinar, dado que en ella tienen cabida artículos vinculados a las diferentes disciplinas científicas que se imparten en el ámbito de la temática de estudio en la Facultad de Ciencias Sociales y del Trabajo de la Universidad de Zaragoza (España): Rela","The journal has a multidisciplinary character, since it includes articles linked to the different scientific disciplines taught in the field of the subject of study at the Faculty of Social and Labor Sciences of the University of Zaragoza (Spain): Rela"
"Accion Psicologica","1578-908X","Psychology, Multidisciplinary","Web of Science - ESCI","Aims and Scope: Published by UNED - Universidad Nacional de Educacion a Distancia. Focuses on scholarly research in the field of Acción Psicológica.","Aims and Scope: Published by UNED - Universidad Nacional de Educacion a Distancia. Focuses on scholarly research in the field of Acción Psicológica."
"Accountability In Research-Ethics Integrity And Policy","0898-9621","Medical Ethics","Web of Science - SCIE","Aims and Scope: and values. In ethics, integrity is regarded as the honesty and truthfulness or earnestness of one&#039,s actions. Integrity can stand in opposition to hypocrisy","Aims and Scope: and values. In ethics, integrity is regarded as the honesty and truthfulness or earnestness of one&#039,s actions. Integrity can stand in opposition to hypocrisy"
"Accounting And Business Research","0001-4788","Business, Finance","Web of Science - SSCI","Aims and Scope: interchangeably. Accounting can be divided into several fields including financial accounting, management accounting, tax accounting and cost accounting. Financial","Aims and Scope: interchangeably. Accounting can be divided into several fields including financial accounting, management accounting, tax accounting and cost accounting. Financial"
"Accounting And Finance","0810-5391","Business, Finance","Web of Science - SSCI","Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on scholarly research in the field of Accounting and Finance.","Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on scholarly research in the field of Accounting and Finance."
"Accounting Auditing & Accountability Journal","1368-0668","Business, Finance","Web of Science - SSCI","Aims and Scope: Published by Emerald (MCB UP). Focuses on scholarly research in the field of Accounting Auditing & Accountability.","Aims and Scope: Published by Emerald (MCB UP). Focuses on scholarly research in the field of Accounting Auditing & Accountability."
"Accounting Economics And Law-A Convivium","2194-6051","Business, Finance","Web of Science - ESCI","Objective The Journal of Accounting, Economics, and Law: A Convivium ( AEL ) aims to encourage a comprehensive understanding of the relationship between individuals, organizations, and institutions in economy and society. Among other matters, attention will be paid to financial, economic, and legal methods and languages that have an important albeit neglected role in this relationship. Concerns of finance, control, accountability, responsibility, valuation, regulation, and governance will be raised in their connection with accounting, economics, law, sociology, anthropology, history, finance, political science, and the management and policy sciences. The journal encourages works that seek to recombine disciplinary domains in response to practical and relevant issues, including theoretical","Objective The Journal of Accounting, Economics, and Law: A Convivium ( AEL ) aims to encourage a comprehensive understanding of the relationship between individuals, organizations, and institutions in economy and society. Among other matters, attention will be paid to financial, economic, and legal methods and languages that have an important albeit neglected role in this relationship. Concerns of finance, control, accountability, responsibility, valuation, regulation, and governance will be raised in their connection with accounting, economics, law, sociology, anthropology, history, finance, political science, and the management and policy sciences. The journal encourages works that seek to recombine disciplinary domains in response to practical and relevant issues, including theoretical"
"Accounting Education","0963-9284","Business, Finance","Web of Science - ESCI","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Accounting Education.","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Accounting Education."
"Accounting Forum","0155-9982","Business, Finance","Web of Science - SSCI","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Accounting Forum.","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Accounting Forum."
"Accounting Historians Journal","0148-4184","Business, Finance","Web of Science - ESCI","About the Journal Potential PredatoryAcceptance Notices The Accounting Historians Journal is an international journal that addresses the development of accounting thought and practice. AHJ embraces all subject matter related to accounting history, including, but not limited to, research that provides a historical perspective on contemporary accounting issues. Beginning June 1, 2026, Accounting Historians Journal will begin offering Hybrid Gold Open Access publishing under a Creative Commons Attribution (CC-BY) license. Choosing this option will require paying an Article Publishing Charge of $3,400. Click here for more information. View full aims & scope Aims & Scope The Accounting Historians Journal is an international journal that addresses the development of accounting thought and practi","About the Journal Potential PredatoryAcceptance Notices The Accounting Historians Journal is an international journal that addresses the development of accounting thought and practice. AHJ embraces all subject matter related to accounting history, including, but not limited to, research that provides a historical perspective on contemporary accounting issues. Beginning June 1, 2026, Accounting Historians Journal will begin offering Hybrid Gold Open Access publishing under a Creative Commons Attribution (CC-BY) license. Choosing this option will require paying an Article Publishing Charge of $3,400. Click here for more information. View full aims & scope Aims & Scope The Accounting Historians Journal is an international journal that addresses the development of accounting thought and practi"
"Accounting History","1032-3732","Business, Finance","Web of Science - ESCI","Aims and Scope: Published by SAGE Publications. Focuses on scholarly research in the field of Accounting History.","Aims and Scope: Published by SAGE Publications. Focuses on scholarly research in the field of Accounting History."
"Accounting History Review","2155-2851","Business","Web of Science - ESCI","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Accounting History Review.","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Accounting History Review."
"Accounting Horizons","0888-7993","Business, Finance","Web of Science - SSCI","Aims and Scope: Accounting Horizons is a quarterly peer-reviewed academic journal published by the American Accounting Association. It was established in 1987. The Association","Aims and Scope: Accounting Horizons is a quarterly peer-reviewed academic journal published by the American Accounting Association. It was established in 1987. The Association"
"Accounting In Europe","1744-9480","Business, Finance","Web of Science - ESCI","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Accounting in Europe.","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Accounting in Europe."
"Accounting Organizations And Society","0361-3682","Business, Finance","Web of Science - SSCI","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Accounting Organizations and Society.","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Accounting Organizations and Society."
"Accounting Perspectives","1911-382X","Business, Finance","Web of Science - ESCI","Aims and Scope: Accounting Perspectives (French: Perspectives comptables) is an academic journal published by Wiley-Blackwell on behalf of The Canadian Academic Accounting","Aims and Scope: Accounting Perspectives (French: Perspectives comptables) is an academic journal published by Wiley-Blackwell on behalf of The Canadian Academic Accounting"
"Accounting Research Journal","1030-9616","Business, Finance","Web of Science - ESCI","Aims and Scope: Published by Emerald (MCB UP). Focuses on scholarly research in the field of Accounting Research Journal.","Aims and Scope: Published by Emerald (MCB UP). Focuses on scholarly research in the field of Accounting Research Journal."
"Accounting Review","0001-4826","Business, Finance","Web of Science - SSCI","Aims and Scope: several fields including financial accounting, management accounting, tax accounting and cost accounting. Financial accounting focuses on the reporting of an","Aims and Scope: several fields including financial accounting, management accounting, tax accounting and cost accounting. Financial accounting focuses on the reporting of an"
"Accounts Of Chemical Research","0001-4842","Chemistry, Multidisciplinary","Web of Science - SCIE","Aims and Scope: Published by American Chemical Society. Focuses on scholarly research in the field of Accounts of Chemical Research.","Aims and Scope: Published by American Chemical Society. Focuses on scholarly research in the field of Accounts of Chemical Research."
"Accounts Of Materials Research","2643-6728","Chemistry, Multidisciplinary, Materials Science","Web of Science - ESCI","Aims and Scope: Published by American Chemical Society. Focuses on scholarly research in the field of Accounts of Materials Research.","Aims and Scope: Published by American Chemical Society. Focuses on scholarly research in the field of Accounts of Materials Research."
"Accreditation And Quality Assurance","0949-1775","Chemistry, Analytical, Instruments & Instrumentation","Web of Science - SCIE","Accreditation and Quality Assurance is the leading forum for information and discussion on quality, transparency, and reliability of measurement results in ...","Accreditation and Quality Assurance is the leading forum for information and discussion on quality, transparency, and reliability of measurement results in ..."
"Ace-Architecture City And Environment","1886-4805","Architecture, Urban Studies","Web of Science - ESCI","Con este número de Invierno (Octubre, 2025) ya llevamos 59 números de publicación ininterrumpida de la revista. En esta oportunidad se han publicado diez interesantes trabajos, nueve de ellos en la Sección de Artículos y una muy interesante nota acerca de la cuantificación de Jacobs.","With this Winter issue (October, 2025) we have already had 59 issues of uninterrupted publication of the magazine. On this occasion, ten interesting papers have been published, nine of them in the Articles Section and a very interesting note about Jacobs quantification."
"Acervo","0102-700X","Humanities, Multidisciplinary, History, Information Science & Library Science","Web of Science - ESCI","periódico científico do Arquivo Nacional","scientific journal of the National Archives"
"Acg Case Reports Journal","2326-3253","Gastroenterology & Hepatology","Web of Science - ESCI","Subjects: Diseases of the digestive system. Gastroenterology. Keywords: gastroenterology, hepatology","Subjects: Diseases of the digestive system. Gastroenterology. Keywords: gastroenterology, hepatology"
"Aci Materials Journal","0889-325X","Construction & Building Technology, Materials Science, Multidisciplinary","Web of Science - SCIE","Aims and Scope: Published by American Concrete Institute. Focuses on scholarly research in the field of ACI Materials Journal.","Aims and Scope: Published by American Concrete Institute. Focuses on scholarly research in the field of ACI Materials Journal."
"Aci Structural Journal","0889-3241","Construction & Building Technology, Engineering, Civil, Materials Science, Multidisciplinary","Web of Science - SCIE","Learn more about the ACI Structural Journal here – subscribe, search past issues, become a journal author, or become a technical paper reviewer.","Learn more about the ACI Structural Journal here – subscribe, search past issues, become a journal author, or become a technical paper reviewer."
"Acm Communications In Computer Algebra","1932-2232","Mathematics, Applied","Web of Science - ESCI","Aims and Scope: Published by Association for Computing Machinery. Focuses on scholarly research in the field of ACM Communications in Computer Algebra.","Aims and Scope: Published by Association for Computing Machinery. Focuses on scholarly research in the field of ACM Communications in Computer Algebra."
"Acm Computing Surveys","0360-0300","Computer Science, Theory & Methods","Web of Science - SCIE","Aims and Scope: ACM Computing Surveys is peer-reviewed quarterly scientific journal and is published by the Association for Computing Machinery. It publishes survey articles","Aims and Scope: ACM Computing Surveys is peer-reviewed quarterly scientific journal and is published by the Association for Computing Machinery. It publishes survey articles"
"Acme-Annali Della Facolta Di Studi Umanistici Dell Universita Degli Studi Di Milano","0001-494X","Humanities, Multidisciplinary","Web of Science - ESCI","ACME - Rivista della Facoltà di Studi Umanistici","ACME - Journal of the Faculty of Humanities"
"Acm Journal Of Data And Information Quality","1936-1955","Computer Science, Information Systems","Web of Science - ESCI","Aims and Scope: Published by Association for Computing Machinery. Focuses on scholarly research in the field of Journal of Data and Information Quality.","Aims and Scope: Published by Association for Computing Machinery. Focuses on scholarly research in the field of Journal of Data and Information Quality."
"Acm Journal On Computing And Cultural Heritage","1556-4673","Computer Science, Interdisciplinary Applications, Humanities, Multidisciplinary","Web of Science - AHCI, Web of Science - SCIE","Aims and Scope: Published by Association for Computing Machinery. Focuses on scholarly research in the field of Journal on Computing and Cultural Heritage.","Aims and Scope: Published by Association for Computing Machinery. Focuses on scholarly research in the field of Journal on Computing and Cultural Heritage."
