Título da Revista;ISSN;Homepage;Aims and Scope;Aims and Scope (translate);Grande Area;Area do Conhecimento;Subárea do Conhecimento;Indexador;JIF;Quartil JCR;SJR;SJR Best Quartile;H index;Índice h5
ADVANCES IN DIGESTIVE MEDICINE;2351-9797;https://onlinelibrary.wiley.com/journal/23519800;;;Ciências Agrárias;Agronomia;Agricultura, Laticínios e Zootecnia, Ciências Veterinárias;Web of Science;4,2;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ADVANCES%20IN%20DIGESTIVE%20MEDICINE&btnG=
ADVANCES IN ENERGY RESEARCH;2287-6316;http://www.techno-press.org/?journal=eri&subpage=7#;;;Ciências Agrárias;Agronomia;Agricultura, Laticínios e Zootecnia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ADVANCES%20IN%20ENERGY%20RESEARCH&btnG=
ADVANCES IN INTEGRATIVE MEDICINE;2212-9588;https://www.journals.elsevier.com/advances-in-integrative-medicine;;;Ciências Agrárias;Agronomia;Agricultura, Laticínios e Zootecnia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ADVANCES%20IN%20INTEGRATIVE%20MEDICINE&btnG=
ADVANCES IN PHYSICS;0001-8732;https://www.tandfonline.com/toc/tadp20/current;;;Ciências Agrárias;Agronomia;Agricultura, Laticínios e Zootecnia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ADVANCES%20IN%20PHYSICS&btnG=
AILA REVIEW;1461-0213;http://www.benjamins.nl/cgi-bin/t_seriesview.cgi?series=AILA;;;Ciências Agrárias;Recursos Pesqueiros e Engenharia de Pesca;Economia e Política Agrícola, Pesca;Web of Science;3,7;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=AILA%20REVIEW&btnG=
AJSP-REVIEWS AND REPORTS;2381-5949;http://journals.lww.com/pathologycasereviews/pages/default.aspx;;;Ciências Agrárias;Agronomia;Agricultura, Laticínios e Zootecnia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=AJSP-REVIEWS%20AND%20REPORTS&btnG=
AKTUALNI GYNEKOLOGIE A PORODNICTVI;1803-9588;http://www.actualgyn.com/en/home.php;;;Ciências Agrárias;Agronomia;Agricultura, Laticínios e Zootecnia;Web of Science;1,5;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=AKTUALNI%20GYNEKOLOGIE%20A%20PORODNICTVI&btnG=
ALTERNATIVES;0304-3754;http://www.csds.in/index.php/;;;Ciências Agrárias;Agronomia;Agricultura, Inteligência Artificial, Multidisciplinar, Ciência da Computação;Web of Science;12,4;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ALTERNATIVES&btnG=
AMERICAN JOURNAL OF EDUCATION;0195-6744;http://www.journals.uchicago.edu/aje;;;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=AMERICAN%20JOURNAL%20OF%20EDUCATION&btnG=
AMERICAN JOURNAL OF INFECTION CONTROL;0196-6553;https://www.journals.elsevier.com/american-journal-of-infection-control;;;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=AMERICAN%20JOURNAL%20OF%20INFECTION%20CONTROL&btnG=
AMERICAN JOURNAL OF OPHTHALMOLOGY;0002-9394;https://www.sciencedirect.com/journal/american-journal-of-ophthalmology;;;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;0,6;Q4;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=AMERICAN%20JOURNAL%20OF%20OPHTHALMOLOGY&btnG=
AMERICAN JOURNAL OF SEXUALITY EDUCATION;1554-6128;https://www.tandfonline.com/toc/wajs20/current;;;Ciências Agrárias;Agronomia;Agricultura, Multidisciplinar;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=AMERICAN%20JOURNAL%20OF%20SEXUALITY%20EDUCATION&btnG=
AMERICAN JOURNALISM;0882-1127;https://www.tandfonline.com/toc/uamj20/current;;;Ciências Agrárias;Agronomia;Agronomia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=AMERICAN%20JOURNALISM&btnG=
ANNALS OF CORPORATE GOVERNANCE;2381-6732;http://www.nowpublishers.com/ACG;;;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ANNALS%20OF%20CORPORATE%20GOVERNANCE&btnG=
ANNALS OF GASTROENTEROLOGY;1108-7471;http://annalsgastro.gr;;;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ANNALS%20OF%20GASTROENTEROLOGY&btnG=
ANNALS OF PHYSICAL AND REHABILITATION MEDICINE;1877-0657;https://www.journals.elsevier.com/annals-of-physical-and-rehabilitation-medicine;;;Ciências Agrárias;Agronomia;Agricultura, Laticínios e Zootecnia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ANNALS%20OF%20PHYSICAL%20AND%20REHABILITATION%20MEDICINE&btnG=
ANNALS OF VASCULAR SURGERY;0890-5096;https://www.journals.elsevier.com/annals-of-vascular-surgery;;;Ciências Agrárias;Agronomia;Agricultura, Laticínios e Zootecnia;Web of Science;1,7;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ANNALS%20OF%20VASCULAR%20SURGERY&btnG=
ANNUAL PLANT REVIEWS ONLINE;2639-3832;https://onlinelibrary.wiley.com/doi/book/10.1002/9781119312994;;;Ciências Agrárias;Agronomia;Agricultura, Laticínios e Zootecnia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ANNUAL%20PLANT%20REVIEWS%20ONLINE&btnG=
ANTHROPOLOGICAL NOTEBOOKS;1408-032X;http://www.drustvo-antropologov.si/anthropological_notebooks1.html;;;Ciências Agrárias;Agronomia;Agricultura, Laticínios e Zootecnia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ANTHROPOLOGICAL%20NOTEBOOKS&btnG=
ANTHROPOLOGY & MEDICINE;1364-8470;https://www.tandfonline.com/toc/canm20/current;;;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ANTHROPOLOGY%20%26%20MEDICINE&btnG=
ANTI-CANCER AGENTS IN MEDICINAL CHEMISTRY;1871-5206;http://benthamscience.com/journal/index.php?journalid=acamc;;;Ciências Agrárias;Agronomia;Agronomia, Ciências Vegetais;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ANTI-CANCER%20AGENTS%20IN%20MEDICINAL%20CHEMISTRY&btnG=
APPLIED MOBILITIES;2380-0127;https://www.tandfonline.com/toc/rapm20/current;;;Ciências Agrárias;Agronomia;Agronomia;Web of Science;1,9;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=APPLIED%20MOBILITIES&btnG=
APPLIED NUMERICAL MATHEMATICS;0168-9274;https://www.journals.elsevier.com/applied-numerical-mathematics;;;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=APPLIED%20NUMERICAL%20MATHEMATICS&btnG=
ARAB WORLD ENGLISH JOURNAL;2229-9327;http://awej.org/;;;Ciências Agrárias;Agronomia;Agricultura, Multidisciplinar, Agronomia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ARAB%20WORLD%20ENGLISH%20JOURNAL&btnG=
ARCHITECTURAL ENGINEERING AND DESIGN MANAGEMENT;1745-2007;https://www.tandfonline.com/toc/taem20/current;;;Ciências Agrárias;Agronomia;Agricultura, Multidisciplinar;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ARCHITECTURAL%20ENGINEERING%20AND%20DESIGN%20MANAGEMENT&btnG=
ASCE-ASME JOURNAL OF RISK AND UNCERTAINTY IN ENGINEERING SYSTEMS PART A-CIVIL ENGINEERING;2376-7642;http://ascelibrary.org/journal/ajrua6;;;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos;Web of Science;14,1;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ASCE-ASME%20JOURNAL%20OF%20RISK%20AND%20UNCERTAINTY%20IN%20ENGINEERING%20SYSTEMS%20PART%20A-CIVIL%20ENGINEERING&btnG=
ASIAN POPULATION STUDIES;1744-1730;https://www.tandfonline.com/toc/raps20/current;;;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos, Nutrição e Dietética;Web of Science;8,8;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ASIAN%20POPULATION%20STUDIES&btnG=
ASIAN SURVEY;0004-4687;http://as.ucpress.edu/;;;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ASIAN%20SURVEY&btnG=
ASIAN-EUROPEAN JOURNAL OF MATHEMATICS;1793-5571;http://www.worldscientific.com/worldscinet/aejm;;;Ciências Agrárias;Agronomia;Agronomia, Ciências Vegetais;Web of Science;5,6;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ASIAN-EUROPEAN%20JOURNAL%20OF%20MATHEMATICS&btnG=
ASIAN-PACIFIC ECONOMIC LITERATURE;0818-9935;https://onlinelibrary.wiley.com/journal/14678411;;;Ciências Agrárias;Agronomia;Agricultura, Multidisciplinar;Web of Science;1,9;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ASIAN-PACIFIC%20ECONOMIC%20LITERATURE&btnG=
AUSTRALASIAN JOURNAL OF INFORMATION SYSTEMS;1449-8618;http://dl.acs.org.au/index.php/ajis/index;;;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=AUSTRALASIAN%20JOURNAL%20OF%20INFORMATION%20SYSTEMS&btnG=
AUSTRALIAN AND NEW ZEALAND JOURNAL OF FAMILY THERAPY;0814-723X;https://onlinelibrary.wiley.com/journal/14678438;;;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos;Web of Science;1,7;Q3;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=AUSTRALIAN%20AND%20NEW%20ZEALAND%20JOURNAL%20OF%20FAMILY%20THERAPY&btnG=
AUSTRALIAN ECONOMIC REVIEW;0004-9018;https://onlinelibrary.wiley.com/journal/14678462;;;Ciências Agrárias;Agronomia;Agricultura, Laticínios e Zootecnia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=AUSTRALIAN%20ECONOMIC%20REVIEW&btnG=
AUSTRALIAN ENDODONTIC JOURNAL;1329-1947;https://onlinelibrary.wiley.com/journal/17474477;;;Ciências Agrárias;Agronomia;Agronomia, Ciências Vegetais;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=AUSTRALIAN%20ENDODONTIC%20JOURNAL&btnG=
AUSTRALIAN JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS;1467-8489;https://onlinelibrary.wiley.com/journal/14678489;;;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura, Silvicultura, Geografia, Física;Web of Science;2,3;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=AUSTRALIAN%20JOURNAL%20OF%20AGRICULTURAL%20AND%20RESOURCE%20ECONOMICS&btnG=
B E JOURNAL OF MACROECONOMICS;2194-6116;;;;Ciências Agrárias;Recursos Pesqueiros e Engenharia de Pesca;Pesca, Ciências Veterinárias;Web of Science;1,2;Q3;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=B%20E%20JOURNAL%20OF%20MACROECONOMICS&btnG=
BIBLE TRANSLATOR;2051-6770;https://us.sagepub.com/en-us/nam/journal/bible-translator;;;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BIBLE%20TRANSLATOR&btnG=
BIOCHEMISTRY;0006-2960;http://pubs.acs.org/journal/bichaw;;;Ciências Agrárias;Agronomia;Agronomia, Ciência e Tecnologia de Alimentos;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BIOCHEMISTRY&btnG=
BIOFOULING;0892-7014;https://www.tandfonline.com/toc/gbif20/current;;;Ciências Agrárias;Engenharia Agrícola;Engenharia Agrícola;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BIOFOULING&btnG=
BIOSYSTEMS ENGINEERING;1537-5110;https://www.journals.elsevier.com/biosystems-engineering;;;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos;Web of Science;3,2;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BIOSYSTEMS%20ENGINEERING&btnG=
BIOTECHNOLOGY AND BIOENGINEERING;0006-3592;http://www3.interscience.wiley.com/journal/117933915/grouphome/home.html;;;Ciências Agrárias;Agronomia;Agronomia;Web of Science;5,5;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BIOTECHNOLOGY%20AND%20BIOENGINEERING&btnG=
BLOOD;0006-4971;https://www.sciencedirect.com/journal/blood;;;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos, Nutrição e Dietética;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BLOOD&btnG=
BRAIN MECHANISMS;3050-6433;;;;Ciências Agrárias;Recursos Pesqueiros e Engenharia de Pesca;Pesca;Web of Science;1,4;Q3;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRAIN%20MECHANISMS&btnG=
BRAIN RESEARCH BULLETIN;0361-9230;https://www.journals.elsevier.com/brain-research-bulletin;;;Ciências Agrárias;Recursos Pesqueiros e Engenharia de Pesca;Pesca, Ciências Veterinárias;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRAIN%20RESEARCH%20BULLETIN&btnG=
BREAST CANCER RESEARCH AND TREATMENT;0167-6806;http://springerlink.metapress.com/link.asp?id=102860;;;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos;Web of Science;5,8;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BREAST%20CANCER%20RESEARCH%20AND%20TREATMENT&btnG=
BREATHE;1810-6838;https://breathe.ersjournals.com/;;;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos, Nutrição e Dietética;Web of Science;1,6;Q3;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BREATHE&btnG=
BRIDGE STRUCTURES;1573-2487;http://www.iospress.nl/loadtop/load.php?isbn=15732487;;;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Aplicada, Ciência e Tecnologia de Alimentos, Nutrição e Dietética, Química;Web of Science;9,8;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRIDGE%20STRUCTURES&btnG=
BRIEFINGS IN FUNCTIONAL GENOMICS;2041-2649;https://academic.oup.com/bfg;;;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos;Web of Science;6,3;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRIEFINGS%20IN%20FUNCTIONAL%20GENOMICS&btnG=
BRILLS ANNUAL OF AFROASIATIC LANGUAGES AND LINGUISTICS;1876-6633;http://brill.publisher.ingentaconnect.com/content/brill/baall;;;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos;Web of Science;7,6;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRILLS%20ANNUAL%20OF%20AFROASIATIC%20LANGUAGES%20AND%20LINGUISTICS&btnG=
BRITISH ACCOUNTING REVIEW;0890-8389;https://www.journals.elsevier.com/the-british-accounting-review;;;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos, Nutrição e Dietética;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20ACCOUNTING%20REVIEW&btnG=
BRITISH COLUMBIA MEDICAL JOURNAL;0007-0556;http://www.bcmj.org/;;;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos;Web of Science;4,9;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20COLUMBIA%20MEDICAL%20JOURNAL&btnG=
BRITISH EDUCATIONAL RESEARCH JOURNAL;0141-1926;https://onlinelibrary.wiley.com/journal/14693518;;;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos;Web of Science;8;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20EDUCATIONAL%20RESEARCH%20JOURNAL&btnG=
BRITISH FOOD JOURNAL;0007-070X;http://www.emeraldinsight.com/0007-070X.htm;;;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos, Nutrição e Dietética;Web of Science;6;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20FOOD%20JOURNAL&btnG=
BRITISH JOURNAL FOR THE HISTORY OF MATHEMATICS;2637-5451;https://www.tandfonline.com/toc/tbsh21/current;;;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20JOURNAL%20FOR%20THE%20HISTORY%20OF%20MATHEMATICS&btnG=
BRITISH JOURNAL FOR THE HISTORY OF PHILOSOPHY;0960-8788;http://www.tandfonline.com/rbjh;;;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20JOURNAL%20FOR%20THE%20HISTORY%20OF%20PHILOSOPHY&btnG=
BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE;0007-0882;http://bjps.oxfordjournals.org/;;;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos;Web of Science;3,8;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20JOURNAL%20FOR%20THE%20PHILOSOPHY%20OF%20SCIENCE&btnG=
BRITISH JOURNAL OF AESTHETICS;0007-0904;http://bjaesthetics.oxfordjournals.org/;;;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Ciência e Tecnologia de Alimentos;Web of Science;6,2;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20JOURNAL%20OF%20AESTHETICS&btnG=
BRITISH JOURNAL OF EDUCATIONAL STUDIES;0007-1005;http://www.tandfonline.com/action/aboutThisJournal?journalCode=rbje20;;;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;3,7;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20JOURNAL%20OF%20EDUCATIONAL%20STUDIES&btnG=
BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY;0007-1013;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8535;;;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;4,4;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20JOURNAL%20OF%20EDUCATIONAL%20TECHNOLOGY&btnG=
BRITISH JOURNAL OF GUIDANCE & COUNSELLING;0306-9885;https://www.tandfonline.com/toc/cbjg20/current;;;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;3,8;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20JOURNAL%20OF%20GUIDANCE%20%26%20COUNSELLING&btnG=
BRITISH JOURNAL OF HEALTH PSYCHOLOGY;1359-107X;https://bpspsychub.onlinelibrary.wiley.com/journal/20448287;;;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;3,2;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20JOURNAL%20OF%20HEALTH%20PSYCHOLOGY&btnG=
BRITISH JOURNAL OF HOSPITAL MEDICINE;1750-8460;;;;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20JOURNAL%20OF%20HOSPITAL%20MEDICINE&btnG=
BRITISH JOURNAL OF INDUSTRIAL RELATIONS;0007-1080;https://onlinelibrary.wiley.com/journal/14678543;;;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20JOURNAL%20OF%20INDUSTRIAL%20RELATIONS&btnG=
BRITISH JOURNAL OF LEARNING DISABILITIES;1354-4187;https://onlinelibrary.wiley.com/journal/14683156;;;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;1,4;Q3;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20JOURNAL%20OF%20LEARNING%20DISABILITIES&btnG=
BRITISH JOURNAL OF MANAGEMENT;1045-3172;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8551;;;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;Silvicultura;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=BRITISH%20JOURNAL%20OF%20MANAGEMENT&btnG=
